# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: AUG26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	2	down	105	2026-08-04 03:15:00	58.11000	58.38100	0.27100	106	2026-08-04 03:30:00	58.32000	TRAILING_SL_INTRABAR	1	-0.77	-0.80
300	2	up	107	2026-08-04 03:45:00	58.64200	58.15900	0.48300	136	2026-08-04 11:00:00	58.72600	TRAILING_SL_INTRABAR	29	0.17	0.32
300	3	up	203	2026-08-05 04:45:00	60.52500	59.68200	0.84300	233	2026-08-05 12:15:00	61.18100	TRAILING_SL_INTRABAR	30	0.78	2.41
300	4	up	249	2026-08-05 16:15:00	62.50300	61.69300	0.81000	256	2026-08-05 18:00:00	61.76400	TRAILING_SL_INTRABAR	7	-0.91	-2.63
300	5	down	337	2026-08-06 15:15:00	61.16000	61.70300	0.54300	338	2026-08-06 15:30:00	61.70300	INITIAL_SL_INTRABAR	1	-1.00	-1.97
300	7	up	526	2026-08-10 16:30:00	64.50300	63.76200	0.74100	571	2026-08-11 04:45:00	65.70500	TRAILING_SL_INTRABAR	45	1.62	4.14
300	8	up	680	2026-08-12 09:00:00	65.89400	65.57800	0.31600	701	2026-08-12 14:15:00	66.04600	TRAILING_SL_INTRABAR	21	0.48	0.51
300	9	down	838	2026-08-14 02:30:00	64.31700	64.68400	0.36700	860	2026-08-14 08:00:00	64.27900	TRAILING_SL_INTRABAR	22	0.10	0.13
300	10	up	1022	2026-08-18 02:30:00	66.37600	65.73600	0.64000	1027	2026-08-18 03:45:00	65.98400	TRAILING_SL_INTRABAR	5	-0.61	-1.31
300	10	down	1080	2026-08-18 17:00:00	64.14600	64.77700	0.63100	1140	2026-08-19 09:00:00	63.12800	TRAILING_SL_INTRABAR	60	1.61	3.53
300	12	up	1259	2026-08-20 15:45:00	67.37800	66.56400	0.81400	1277	2026-08-20 20:15:00	67.75200	TRAILING_SL_INTRABAR	18	0.46	1.23
300	14	down	1390	2026-08-24 02:30:00	68.97400	69.69700	0.72300	1392	2026-08-24 03:00:00	69.32600	TRAILING_SL_INTRABAR	2	-0.49	-1.13
300	14	up	1481	2026-08-25 02:15:00	69.57800	69.26100	0.31700	1484	2026-08-25 03:00:00	69.26100	INITIAL_SL_INTRABAR	3	-1.00	-1.01
300	16	down	1624	2026-08-26 15:00:00	68.30700	69.02800	0.72100	1646	2026-08-26 20:30:00	68.20300	TRAILING_SL_INTRABAR	22	0.14	0.34
300	17	down	1717	2026-08-27 15:15:00	68.08300	68.37900	0.29600	1721	2026-08-27 16:15:00	68.37900	INITIAL_SL_INTRABAR	4	-1.00	-0.97
300	17	up	1761	2026-08-28 03:15:00	69.46400	68.79800	0.66600	1762	2026-08-28 03:30:00	68.83100	TRAILING_SL_INTRABAR	1	-0.95	-2.03
300	19	up	1898	2026-08-31 14:30:00	67.00300	66.83800	0.16500	1898	2026-08-31 14:30:00	66.83800	INITIAL_SL_INTRABAR	0	-1.00	-0.55
