# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: JUL26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	2	up	104	2026-07-02 03:00:00	59.44100	58.95100	0.49000	121	2026-07-02 07:15:00	59.79600	TRAILING_SL_INTRABAR	17	0.72	1.33
300	3	up	154	2026-07-02 15:30:00	60.91500	60.10800	0.80700	166	2026-07-02 18:30:00	60.73100	TRAILING_SL_INTRABAR	12	-0.23	-0.67
300	4	up	203	2026-07-03 04:45:00	62.49000	62.11200	0.37800	217	2026-07-03 08:15:00	62.11200	INITIAL_SL_INTRABAR	14	-1.00	-1.34
300	5	down	319	2026-07-06 14:45:00	61.49700	62.18900	0.69200	323	2026-07-06 15:45:00	61.93500	TRAILING_SL_INTRABAR	4	-0.63	-1.58
300	7	down	486	2026-07-08 10:30:00	59.69300	60.81600	1.12300	522	2026-07-08 19:30:00	58.31300	TRAILING_SL_INTRABAR	36	1.23	5.14
300	8	down	549	2026-07-09 03:15:00	58.20300	58.54500	0.34200	553	2026-07-09 04:15:00	58.32100	TRAILING_SL_INTRABAR	4	-0.35	-0.45
300	9	down	786	2026-07-13 16:30:00	57.95900	58.33600	0.37700	829	2026-07-14 04:15:00	57.58700	TRAILING_SL_INTRABAR	43	0.99	1.43
300	10	down	1027	2026-07-16 07:45:00	57.25200	57.41700	0.16500	1028	2026-07-16 08:00:00	57.41700	INITIAL_SL_INTRABAR	1	-1.00	-0.64
300	11	down	1102	2026-07-17 03:30:00	55.53100	55.85800	0.32700	1111	2026-07-17 05:45:00	55.61700	TRAILING_SL_INTRABAR	9	-0.26	-0.34
300	12	up	1153	2026-07-17 16:15:00	55.67400	55.48500	0.18900	1178	2026-07-17 22:30:00	55.89500	TRAILING_SL_INTRABAR	25	1.17	0.88
300	13	up	1291	2026-07-21 04:45:00	57.63000	56.81000	0.82000	1326	2026-07-21 13:30:00	58.77700	TRAILING_SL_INTRABAR	35	1.40	4.42
300	14	up	1376	2026-07-22 03:00:00	59.18100	58.76200	0.41900	1394	2026-07-22 07:30:00	59.47900	TRAILING_SL_INTRABAR	18	0.71	1.12
300	15	down	1425	2026-07-22 15:15:00	59.37900	59.53700	0.15800	1425	2026-07-22 15:15:00	59.53700	INITIAL_SL_INTRABAR	0	-1.00	-0.59
300	15	up	1427	2026-07-22 15:45:00	59.99200	59.33800	0.65400	1441	2026-07-22 19:15:00	59.85900	TRAILING_SL_INTRABAR	14	-0.20	-0.49
300	17	down	1557	2026-07-24 02:15:00	57.37000	57.74600	0.37600	1558	2026-07-24 02:30:00	57.65500	TRAILING_SL_INTRABAR	1	-0.76	-1.10
300	19	down	1697	2026-07-27 14:15:00	58.78600	59.28100	0.49500	1714	2026-07-27 18:30:00	58.88800	TRAILING_SL_INTRABAR	17	-0.21	-0.39
300	21	down	1796	2026-07-28 16:00:00	56.82200	57.26650	0.44450	1800	2026-07-28 17:00:00	57.26650	INITIAL_SL_INTRABAR	4	-1.00	-1.74
300	21	up	1905	2026-07-29 20:15:00	58.50400	57.69800	0.80600	1911	2026-07-29 21:45:00	57.83200	TRAILING_SL_INTRABAR	6	-0.83	-2.55
