# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: JUN26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	1	down	58	2026-06-01 14:30:00	75.52300	75.78800	0.26500	59	2026-06-01 14:45:00	75.72500	TRAILING_SL_INTRABAR	1	-0.76	-0.59
300	2	down	108	2026-06-02 04:00:00	74.81400	75.52000	0.70600	110	2026-06-02 04:30:00	75.27300	TRAILING_SL_INTRABAR	2	-0.65	-1.36
300	2	up	108	2026-06-02 04:00:00	74.81400	74.32000	0.49400	111	2026-06-02 04:45:00	74.98000	TRAILING_SL_INTRABAR	3	0.34	0.49
300	7	down	378	2026-06-05 02:30:00	73.52800	73.99300	0.46500	409	2026-06-05 10:15:00	72.67000	TRAILING_SL_INTRABAR	31	1.85	2.59
300	8	down	427	2026-06-05 14:45:00	72.60000	73.43500	0.83500	468	2026-06-08 02:00:00	68.21300	TRAILING_SL_INTRABAR	41	5.25	13.43
300	8	up	427	2026-06-05 14:45:00	72.60000	72.25200	0.34800	427	2026-06-05 14:45:00	72.25200	INITIAL_SL_INTRABAR	0	-1.00	-1.07
300	9	down	491	2026-06-08 07:45:00	66.39100	67.71400	1.32300	512	2026-06-08 13:00:00	67.41500	TRAILING_SL_INTRABAR	21	-0.77	-3.43
300	10	up	616	2026-06-09 16:00:00	67.98800	67.74100	0.24700	616	2026-06-09 16:00:00	67.74100	INITIAL_SL_INTRABAR	0	-1.00	-0.81
300	10	down	619	2026-06-09 16:45:00	65.44300	67.19300	1.75000	675	2026-06-10 07:45:00	64.32700	TRAILING_SL_INTRABAR	56	0.64	3.79
300	13	down	794	2026-06-11 14:30:00	62.93400	63.98900	1.05500	799	2026-06-11 15:45:00	63.84600	TRAILING_SL_INTRABAR	5	-0.86	-3.22
300	15	up	978	2026-06-15 14:30:00	70.80800	70.46200	0.34600	987	2026-06-15 16:45:00	70.74500	TRAILING_SL_INTRABAR	9	-0.18	-0.20
300	15	down	1263	2026-06-18 16:45:00	66.21300	66.87700	0.66400	1324	2026-06-19 09:00:00	64.43200	TRAILING_SL_INTRABAR	61	2.68	5.98
300	19	down	1518	2026-06-23 15:15:00	62.01400	62.34800	0.33400	1519	2026-06-23 15:30:00	62.34800	INITIAL_SL_INTRABAR	1	-1.00	-1.20
300	20	down	1752	2026-06-26 04:45:00	56.04900	56.94100	0.89200	1766	2026-06-26 08:15:00	56.94100	INITIAL_SL_INTRABAR	14	-1.00	-3.54
300	21	up	1798	2026-06-26 16:15:00	59.21000	58.34200	0.86800	1813	2026-06-26 20:00:00	58.96600	TRAILING_SL_INTRABAR	15	-0.28	-0.92
300	22	down	1891	2026-06-29 16:30:00	58.07400	58.34400	0.27000	1900	2026-06-29 18:45:00	58.16400	TRAILING_SL_INTRABAR	9	-0.33	-0.34
300	22	up	1952	2026-06-30 08:45:00	58.95500	58.60800	0.34700	1958	2026-06-30 10:15:00	58.60800	INITIAL_SL_INTRABAR	6	-1.00	-1.31
