# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: MAI26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	1	up	58	2026-05-01 14:30:00	74.88700	73.80400	1.08300	87	2026-05-01 21:45:00	75.42400	TRAILING_SL_INTRABAR	29	0.50	1.59
300	2	down	125	2026-05-04 08:15:00	75.02900	75.47000	0.44100	151	2026-05-04 14:45:00	73.97200	TRAILING_SL_INTRABAR	26	2.40	3.13
300	3	down	194	2026-05-05 02:30:00	72.46600	72.96400	0.49800	196	2026-05-05 03:00:00	72.81300	TRAILING_SL_INTRABAR	2	-0.70	-1.06
300	3	up	289	2026-05-06 03:15:00	74.29200	74.06200	0.23000	333	2026-05-06 14:15:00	76.29000	TRAILING_SL_INTRABAR	44	8.69	5.98
300	4	up	381	2026-05-07 03:15:00	77.83500	76.82400	1.01100	392	2026-05-07 06:00:00	77.56800	TRAILING_SL_INTRABAR	11	-0.26	-0.76
300	5	up	433	2026-05-07 16:15:00	81.80000	81.05800	0.74200	437	2026-05-07 17:15:00	81.05800	INITIAL_SL_INTRABAR	4	-1.00	-2.02
300	6	up	610	2026-05-11 14:30:00	82.80900	80.92300	1.88600	656	2026-05-12 03:00:00	85.98100	TRAILING_SL_INTRABAR	46	1.68	8.51
300	7	down	677	2026-05-12 08:15:00	84.81300	85.73100	0.91800	703	2026-05-12 14:45:00	84.46900	TRAILING_SL_INTRABAR	26	0.37	0.90
300	8	up	801	2026-05-13 16:15:00	87.49300	86.70100	0.79200	815	2026-05-13 19:45:00	87.92400	TRAILING_SL_INTRABAR	14	0.54	1.09
300	9	down	889	2026-05-14 15:15:00	86.30100	86.88900	0.58800	998	2026-05-15 19:30:00	77.35100	TRAILING_SL_INTRABAR	109	15.22	23.05
300	10	down	936	2026-05-15 04:00:00	80.77800	84.52600	3.74800	998	2026-05-15 19:30:00	77.35100	TRAILING_SL_INTRABAR	62	0.91	9.43
300	11	down	983	2026-05-15 15:45:00	76.00000	77.25600	1.25600	997	2026-05-15 19:15:00	77.25600	INITIAL_SL_INTRABAR	14	-1.00	-3.67
300	13	up	1075	2026-05-18 15:45:00	77.56200	76.05500	1.50700	1079	2026-05-18 16:45:00	76.29600	TRAILING_SL_INTRABAR	4	-0.84	-3.63
300	14	down	1165	2026-05-19 15:15:00	75.62200	76.18900	0.56700	1181	2026-05-19 19:15:00	74.87200	TRAILING_SL_INTRABAR	16	1.32	2.20
300	15	down	1212	2026-05-20 04:00:00	74.17400	74.49800	0.32400	1225	2026-05-20 07:15:00	74.04800	TRAILING_SL_INTRABAR	13	0.39	0.38
300	15	up	1263	2026-05-20 16:45:00	76.04200	75.69800	0.34400	1264	2026-05-20 17:00:00	75.69800	INITIAL_SL_INTRABAR	1	-1.00	-1.01
300	17	down	1533	2026-05-25 15:15:00	77.48200	77.96100	0.47900	1540	2026-05-25 17:00:00	77.90200	TRAILING_SL_INTRABAR	7	-0.88	-1.20
300	18	down	1677	2026-05-27 07:45:00	75.68800	77.01100	1.32300	1711	2026-05-27 16:15:00	74.94200	TRAILING_SL_INTRABAR	34	0.56	2.19
300	19	down	1751	2026-05-28 03:15:00	73.97700	75.09200	1.11500	1769	2026-05-28 07:45:00	73.08200	TRAILING_SL_INTRABAR	18	0.80	2.69
300	21	down	1896	2026-05-29 16:30:00	74.76900	75.49200	0.72300	1897	2026-05-29 16:45:00	75.49200	INITIAL_SL_INTRABAR	1	-1.00	-2.15
300	21	up	1899	2026-05-29 17:15:00	76.53300	75.45800	1.07500	1902	2026-05-29 18:00:00	75.45800	INITIAL_SL_INTRABAR	3	-1.00	-3.12
