============================================================================================================
SETUP C EMA-SLOPE-TRAILING (Variante B) | Fenster AUG26 | N=300
Zeitraum: 2026-08-01 .. 2026-09-01  (ende-exklusiv)
Trades: n=17  gewertet=17  zensiert=0
Summe R (r_f4): -2.36R   Summe r_ref: +0.21R
Mean R: -0.14   Median R: -0.49
Winrate: 47.1%  (8W/9L)
Profit Faktor: 0.69
Bester Trade: +1.62R   Schlechtester: -1.00R
Max Gewinnserie: 3 (Summe +2.21R)
Max Verlustserie: 3 (Summe -2.95R)
Max Drawdown (R-Kurve): -4.29R
Exit: INITIAL_SL_INTRABAR=4 | ZEIT_EXIT_CLOSE=0 | TRAILING_SL_INTRABAR=13
mittl. Haltedauer: 16 Bars
============================================================================================================

ALLE TRADES (chronologisch je Horizont, inkl. Zeitstempel):
  N | Phase | Dir  | Entry-TS          |   Entry | Exit-TS           |    Exit | Exit-Grund        |   HD |   r_f4 |  r_ref
------------------------------------------------------------------------------------------------------------
300 | P2   | down | 2026-08-04 03:15 |   58.110 | 2026-08-04 03:30 |   58.320 | TRAILING_SL_INTRABAR   |    1 |   -0.77 |   -0.80
300 | P2   | up   | 2026-08-04 03:45 |   58.642 | 2026-08-04 11:00 |   58.726 | TRAILING_SL_INTRABAR   |   29 |   +0.17 |   +0.32
300 | P3   | up   | 2026-08-05 04:45 |   60.525 | 2026-08-05 12:15 |   61.181 | TRAILING_SL_INTRABAR   |   30 |   +0.78 |   +2.41
300 | P4   | up   | 2026-08-05 16:15 |   62.503 | 2026-08-05 18:00 |   61.764 | TRAILING_SL_INTRABAR   |    7 |   -0.91 |   -2.63
300 | P5   | down | 2026-08-06 15:15 |   61.160 | 2026-08-06 15:30 |   61.703 | INITIAL_SL_INTRABAR    |    1 |   -1.00 |   -1.97
300 | P7   | up   | 2026-08-10 16:30 |   64.503 | 2026-08-11 04:45 |   65.705 | TRAILING_SL_INTRABAR   |   45 |   +1.62 |   +4.14
300 | P8   | up   | 2026-08-12 09:00 |   65.894 | 2026-08-12 14:15 |   66.046 | TRAILING_SL_INTRABAR   |   21 |   +0.48 |   +0.51
300 | P9   | down | 2026-08-14 02:30 |   64.317 | 2026-08-14 08:00 |   64.279 | TRAILING_SL_INTRABAR   |   22 |   +0.10 |   +0.13
300 | P10  | up   | 2026-08-18 02:30 |   66.376 | 2026-08-18 03:45 |   65.984 | TRAILING_SL_INTRABAR   |    5 |   -0.61 |   -1.31
300 | P10  | down | 2026-08-18 17:00 |   64.146 | 2026-08-19 09:00 |   63.128 | TRAILING_SL_INTRABAR   |   60 |   +1.61 |   +3.53
300 | P12  | up   | 2026-08-20 15:45 |   67.378 | 2026-08-20 20:15 |   67.752 | TRAILING_SL_INTRABAR   |   18 |   +0.46 |   +1.23
300 | P14  | down | 2026-08-24 02:30 |   68.974 | 2026-08-24 03:00 |   69.326 | TRAILING_SL_INTRABAR   |    2 |   -0.49 |   -1.13
300 | P14  | up   | 2026-08-25 02:15 |   69.578 | 2026-08-25 03:00 |   69.261 | INITIAL_SL_INTRABAR    |    3 |   -1.00 |   -1.01
300 | P16  | down | 2026-08-26 15:00 |   68.307 | 2026-08-26 20:30 |   68.203 | TRAILING_SL_INTRABAR   |   22 |   +0.14 |   +0.34
300 | P17  | down | 2026-08-27 15:15 |   68.083 | 2026-08-27 16:15 |   68.379 | INITIAL_SL_INTRABAR    |    4 |   -1.00 |   -0.97
300 | P17  | up   | 2026-08-28 03:15 |   69.464 | 2026-08-28 03:30 |   68.831 | TRAILING_SL_INTRABAR   |    1 |   -0.95 |   -2.03
300 | P19  | up   | 2026-08-31 14:30 |   67.003 | 2026-08-31 14:30 |   66.838 | INITIAL_SL_INTRABAR    |    0 |   -1.00 |   -0.55
