============================================================================================================
SETUP C EMA-SLOPE-TRAILING (Variante B) | Fenster MAI26 | N=300
Zeitraum: 2026-05-01 .. 2026-06-01  (ende-exklusiv)
Trades: n=21  gewertet=21  zensiert=0
Summe R (r_f4): +25.72R   Summe r_ref: +42.52R
Mean R: 1.22   Median R: 0.39
Winrate: 57.1%  (12W/9L)
Profit Faktor: 4.35
Bester Trade: +15.22R   Schlechtester: -1.00R
Max Gewinnserie: 3 (Summe +2.60R)
Max Verlustserie: 2 (Summe -1.26R)
Max Drawdown (R-Kurve): -2.51R
Exit: INITIAL_SL_INTRABAR=5 | ZEIT_EXIT_CLOSE=0 | TRAILING_SL_INTRABAR=16
mittl. Haltedauer: 23 Bars
============================================================================================================

ALLE TRADES (chronologisch je Horizont, inkl. Zeitstempel):
  N | Phase | Dir  | Entry-TS          |   Entry | Exit-TS           |    Exit | Exit-Grund        |   HD |   r_f4 |  r_ref
------------------------------------------------------------------------------------------------------------
300 | P1   | up   | 2026-05-01 14:30 |   74.887 | 2026-05-01 21:45 |   75.424 | TRAILING_SL_INTRABAR   |   29 |   +0.50 |   +1.59
300 | P2   | down | 2026-05-04 08:15 |   75.029 | 2026-05-04 14:45 |   73.972 | TRAILING_SL_INTRABAR   |   26 |   +2.40 |   +3.13
300 | P3   | down | 2026-05-05 02:30 |   72.466 | 2026-05-05 03:00 |   72.813 | TRAILING_SL_INTRABAR   |    2 |   -0.70 |   -1.06
300 | P3   | up   | 2026-05-06 03:15 |   74.292 | 2026-05-06 14:15 |   76.290 | TRAILING_SL_INTRABAR   |   44 |   +8.69 |   +5.98
300 | P4   | up   | 2026-05-07 03:15 |   77.835 | 2026-05-07 06:00 |   77.568 | TRAILING_SL_INTRABAR   |   11 |   -0.26 |   -0.76
300 | P5   | up   | 2026-05-07 16:15 |   81.800 | 2026-05-07 17:15 |   81.058 | INITIAL_SL_INTRABAR    |    4 |   -1.00 |   -2.02
300 | P6   | up   | 2026-05-11 14:30 |   82.809 | 2026-05-12 03:00 |   85.981 | TRAILING_SL_INTRABAR   |   46 |   +1.68 |   +8.51
300 | P7   | down | 2026-05-12 08:15 |   84.813 | 2026-05-12 14:45 |   84.469 | TRAILING_SL_INTRABAR   |   26 |   +0.37 |   +0.90
300 | P8   | up   | 2026-05-13 16:15 |   87.493 | 2026-05-13 19:45 |   87.924 | TRAILING_SL_INTRABAR   |   14 |   +0.54 |   +1.09
300 | P9   | down | 2026-05-14 15:15 |   86.301 | 2026-05-15 19:30 |   77.351 | TRAILING_SL_INTRABAR   |  109 |  +15.22 |  +23.05
300 | P10  | down | 2026-05-15 04:00 |   80.778 | 2026-05-15 19:30 |   77.351 | TRAILING_SL_INTRABAR   |   62 |   +0.91 |   +9.43
300 | P11  | down | 2026-05-15 15:45 |   76.000 | 2026-05-15 19:15 |   77.256 | INITIAL_SL_INTRABAR    |   14 |   -1.00 |   -3.67
300 | P13  | up   | 2026-05-18 15:45 |   77.562 | 2026-05-18 16:45 |   76.296 | TRAILING_SL_INTRABAR   |    4 |   -0.84 |   -3.63
300 | P14  | down | 2026-05-19 15:15 |   75.622 | 2026-05-19 19:15 |   74.872 | TRAILING_SL_INTRABAR   |   16 |   +1.32 |   +2.20
300 | P15  | down | 2026-05-20 04:00 |   74.174 | 2026-05-20 07:15 |   74.048 | TRAILING_SL_INTRABAR   |   13 |   +0.39 |   +0.38
300 | P15  | up   | 2026-05-20 16:45 |   76.042 | 2026-05-20 17:00 |   75.698 | INITIAL_SL_INTRABAR    |    1 |   -1.00 |   -1.01
300 | P17  | down | 2026-05-25 15:15 |   77.482 | 2026-05-25 17:00 |   77.902 | TRAILING_SL_INTRABAR   |    7 |   -0.88 |   -1.20
300 | P18  | down | 2026-05-27 07:45 |   75.688 | 2026-05-27 16:15 |   74.942 | TRAILING_SL_INTRABAR   |   34 |   +0.56 |   +2.19
300 | P19  | down | 2026-05-28 03:15 |   73.977 | 2026-05-28 07:45 |   73.082 | TRAILING_SL_INTRABAR   |   18 |   +0.80 |   +2.69
300 | P21  | down | 2026-05-29 16:30 |   74.769 | 2026-05-29 16:45 |   75.492 | INITIAL_SL_INTRABAR    |    1 |   -1.00 |   -2.15
300 | P21  | up   | 2026-05-29 17:15 |   76.533 | 2026-05-29 18:00 |   75.458 | INITIAL_SL_INTRABAR    |    3 |   -1.00 |   -3.12
