# setup_c Gate-Modus (Gated-Portfolio, --mit-regime-gate) - Fenster: S1
# suppression_phasenlokal: True | cluster_a_max_vorlauf: 1 | stop_puffer: 0.15 | sl_pct_ref: 0.45
# Portfolio (§2.16-F.1): TREND -> RAW-A@96 + RAW-B@96 (Bruchrichtung) | SHAKEOUT/UNKLAR -> RAW-A@48
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
regime	arm	horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
TREND	RAW-A	96	2	up	186	2026-02-09 00:30:00	79.85700	78.73800	1.11900	230	2026-02-09 11:30:00	78.73800	INITIAL_SL_INTRABAR	44	-1.00	-3.11
SHAKEOUT	RAW-A	48	5	up	400	2026-02-11 08:00:00	83.39400	82.07100	1.32300	448	2026-02-11 20:00:00	84.38500	ZEIT_EXIT_CLOSE	48	0.75	2.64
UNKLAR	RAW-A	48	10	up	876	2026-02-18 14:30:00	76.35100	75.74300	0.60800	924	2026-02-19 03:30:00	77.27100	ZEIT_EXIT_CLOSE	48	1.51	2.68
SHAKEOUT	RAW-A	48	14	down	1133	2026-02-23 09:45:00	86.08200	86.93900	0.85700	1140	2026-02-23 11:30:00	86.93900	INITIAL_SL_INTRABAR	7	-1.00	-2.21
SHAKEOUT	RAW-A	48	16	down	1246	2026-02-24 15:00:00	86.17400	87.82900	1.65500	1251	2026-02-24 16:15:00	87.82900	INITIAL_SL_INTRABAR	5	-1.00	-4.27
TREND	RAW-B	96	19	up	1475	2026-02-27 03:15:00	90.01300	89.29800	0.71500	1476	2026-02-27 03:30:00	89.29800	INITIAL_SL_INTRABAR	1	-1.00	-1.77
SHAKEOUT	RAW-A	48	22	down	1674	2026-03-03 07:00:00	86.91900	89.43300	2.51400	1722	2026-03-03 19:00:00	83.05700	ZEIT_EXIT_CLOSE	48	1.54	9.87
SHAKEOUT	RAW-A	48	31	down	2906	2026-03-20 15:00:00	70.20100	71.86100	1.66000	2954	2026-03-23 04:00:00	64.79500	ZEIT_EXIT_CLOSE	48	3.26	17.11
TREND	RAW-A	96	42	up	3979	2026-04-08 08:15:00	77.36400	76.75100	0.61300	3986	2026-04-08 10:00:00	76.75100	INITIAL_SL_INTRABAR	7	-1.00	-1.76
TREND	RAW-B	96	44	up	4109	2026-04-09 17:45:00	75.64300	75.11200	0.53100	4138	2026-04-10 02:00:00	75.11200	INITIAL_SL_INTRABAR	29	-1.00	-1.56
TREND	RAW-B	96	45	up	4189	2026-04-10 14:45:00	75.73300	75.54000	0.19300	4189	2026-04-10 14:45:00	75.54000	INITIAL_SL_INTRABAR	0	-1.00	-0.57
TREND	RAW-B	96	46	up	4333	2026-04-14 04:45:00	76.47900	75.87700	0.60200	4429	2026-04-15 05:45:00	79.86200	ZEIT_EXIT_CLOSE	96	5.62	9.83
TREND	RAW-A	96	47	up	4383	2026-04-14 17:15:00	78.63500	77.76700	0.86800	4479	2026-04-15 18:15:00	79.51300	ZEIT_EXIT_CLOSE	96	1.01	2.48
SHAKEOUT	RAW-A	48	48	down	4451	2026-04-15 11:15:00	78.84700	79.48300	0.63600	4468	2026-04-15 15:30:00	79.48300	INITIAL_SL_INTRABAR	17	-1.00	-1.79
TREND	RAW-B	96	51	up	4648	2026-04-17 14:30:00	80.08400	79.54400	0.54000	4682	2026-04-20 00:00:00	79.54400	INITIAL_SL_INTRABAR	34	-1.00	-1.50
SHAKEOUT	RAW-A	48	52	up	4743	2026-04-20 15:15:00	80.00700	79.39000	0.61700	4749	2026-04-20 16:45:00	79.39000	INITIAL_SL_INTRABAR	6	-1.00	-1.71
SHAKEOUT	RAW-A	48	54	down	4841	2026-04-21 16:45:00	77.65400	78.73900	1.08500	4889	2026-04-22 05:45:00	78.06900	ZEIT_EXIT_CLOSE	48	-0.38	-1.19
TREND	RAW-B	96	61	up	5568	2026-05-01 14:30:00	74.88700	73.80400	1.08300	5650	2026-05-04 12:00:00	73.80400	INITIAL_SL_INTRABAR	82	-1.00	-3.21
TREND	RAW-B	96	63	up	5799	2026-05-06 03:15:00	74.29200	74.06200	0.23000	5895	2026-05-07 04:15:00	77.83300	ZEIT_EXIT_CLOSE	96	15.40	10.59
TREND	RAW-B	96	65	up	5943	2026-05-07 16:15:00	81.80000	81.05800	0.74200	5947	2026-05-07 17:15:00	81.05800	INITIAL_SL_INTRABAR	4	-1.00	-2.02
TREND	RAW-A	96	66	up	6120	2026-05-11 14:30:00	82.80900	80.92300	1.88600	6216	2026-05-12 15:30:00	85.23500	ZEIT_EXIT_CLOSE	96	1.29	6.51
SHAKEOUT	RAW-A	48	67	down	6187	2026-05-12 08:15:00	84.81300	85.73100	0.91800	6235	2026-05-12 20:15:00	85.36600	ZEIT_EXIT_CLOSE	48	-0.60	-1.45
SHAKEOUT	RAW-A	48	69	down	6399	2026-05-14 15:15:00	86.30100	86.88900	0.58800	6447	2026-05-15 04:15:00	81.07900	ZEIT_EXIT_CLOSE	48	8.88	13.45
SHAKEOUT	RAW-A	48	70	down	6446	2026-05-15 04:00:00	80.77800	84.52600	3.74800	6494	2026-05-15 16:00:00	76.66300	ZEIT_EXIT_CLOSE	48	1.10	11.32
SHAKEOUT	RAW-A	48	71	down	6493	2026-05-15 15:45:00	76.00000	77.25600	1.25600	6507	2026-05-15 19:15:00	77.25600	INITIAL_SL_INTRABAR	14	-1.00	-3.67
TREND	RAW-A	96	73	up	6585	2026-05-18 15:45:00	77.56200	76.05500	1.50700	6638	2026-05-19 06:00:00	76.05500	INITIAL_SL_INTRABAR	53	-1.00	-4.32
SHAKEOUT	RAW-A	48	74	down	6675	2026-05-19 15:15:00	75.62200	76.18900	0.56700	6723	2026-05-20 04:15:00	73.98800	ZEIT_EXIT_CLOSE	48	2.88	4.80
TREND	RAW-B	96	75	up	6773	2026-05-20 16:45:00	76.04200	75.69800	0.34400	6774	2026-05-20 17:00:00	75.69800	INITIAL_SL_INTRABAR	1	-1.00	-1.01
SHAKEOUT	RAW-A	48	79	down	7261	2026-05-28 03:15:00	73.97700	75.09200	1.11500	7309	2026-05-28 15:15:00	73.57300	ZEIT_EXIT_CLOSE	48	0.36	1.21
