# setup_c PULLBACK_REENTRY - Fenster: AUG
# r_f4 = P&L / (entry - stop); r_ref = P&L / (entry * 0.45%)
# zensiert=1: RECHTS_ZENSIERT am Datenende (r_ref = MtM, strikt isoliert)
nr	phase	dir	zone	brk_idx	kontakt_idx	rejection_idx	entry_idx	entry_ts	entry_preis	stop_level	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref	zensiert
1	1	up	ZONE_2_EMA20	66	103	104	105	2026-08-11 03:15:00	66.01800	65.25000	0.76800	111	2026-08-11 04:45:00	65.70500	TRAILING_SL_INTRABAR	6	-0.40755	-1.05358	0
2	2	down	ZONE_2_EMA20	121	148	149	150	2026-08-11 14:30:00	64.91800	65.44400	0.52600	151	2026-08-11 14:45:00	65.06500	TRAILING_SL_INTRABAR	1	-0.27947	-0.50320	0
3	2	down	ZONE_2_EMA20	121	160	161	162	2026-08-11 17:30:00	64.82000	65.28400	0.46400	164	2026-08-11 18:00:00	64.93400	TRAILING_SL_INTRABAR	2	-0.24569	-0.39083	0
4	2	down	ZONE_2_EMA20	121	166	167	168	2026-08-11 19:00:00	64.89800	65.21500	0.31700	184	2026-08-12 00:00:00	64.79900	TRAILING_SL_INTRABAR	16	0.31230	0.33899	0
5	2	down	ZONE_2_EMA20	121	189	190	191	2026-08-12 01:45:00	64.71300	64.97900	0.26600	192	2026-08-12 02:00:00	64.76700	TRAILING_SL_INTRABAR	1	-0.20301	-0.18543	0
6	2	down	ZONE_2_EMA20	121	212	213	214	2026-08-12 07:30:00	65.05800	65.48600	0.42800	217	2026-08-12 08:15:00	65.28500	TRAILING_SL_INTRABAR	3	-0.53037	-0.77538	0
7	3	up	ZONE_2_EMA20	218	240	241	242	2026-08-12 14:30:00	66.42500	65.74000	0.68500	242	2026-08-12 14:30:00	65.74000	INITIAL_SL_INTRABAR	0	-1.00000	-2.29164	0
8	3	up	ZONE_2_EMA20	218	247	248	249	2026-08-12 16:15:00	66.23200	65.63000	0.60200	250	2026-08-12 16:30:00	66.02000	TRAILING_SL_INTRABAR	1	-0.35216	-0.71130	0
9	3	up	ZONE_1_KANTE	218	283	284	285	2026-08-13 02:15:00	65.59900	65.02500	0.57400	294	2026-08-13 04:30:00	65.29300	TRAILING_SL_INTRABAR	9	-0.53310	-1.03660	0
10	3	up	ZONE_1_KANTE	218	303	304	305	2026-08-13 07:15:00	65.53400	65.04814	0.48586	307	2026-08-13 07:45:00	65.09300	TRAILING_SL_INTRABAR	2	-0.90767	-1.49541	0
11	3	up	ZONE_2_EMA20	218	324	325	326	2026-08-13 12:30:00	64.86600	64.43900	0.42700	340	2026-08-13 16:00:00	64.73700	TRAILING_SL_INTRABAR	14	-0.30211	-0.44194	0
12	3	up	ZONE_2_EMA20	218	342	343	344	2026-08-13 17:00:00	64.99300	64.25900	0.73400	345	2026-08-13 17:15:00	64.67700	TRAILING_SL_INTRABAR	1	-0.43052	-1.08046	0
13	3	up	ZONE_2_EMA20	218	351	352	353	2026-08-13 19:15:00	64.84200	64.55100	0.29100	354	2026-08-13 19:30:00	64.68900	TRAILING_SL_INTRABAR	1	-0.52577	-0.52435	0
14	3	up	ZONE_2_EMA20	218	371	372	373	2026-08-14 01:15:00	64.54800	64.23800	0.31000	376	2026-08-14 02:00:00	64.52500	TRAILING_SL_INTRABAR	3	-0.07419	-0.07918	0
15	4	down	ZONE_2_EMA20	380	390	391	392	2026-08-14 06:00:00	63.97500	64.33400	0.35900	400	2026-08-14 08:00:00	64.27900	TRAILING_SL_INTRABAR	8	-0.84680	-1.05597	0
16	4	down	ZONE_2_EMA20	380	439	440	441	2026-08-14 18:15:00	64.90000	65.31600	0.41600	461	2026-08-17 00:15:00	64.88900	TRAILING_SL_INTRABAR	20	0.02644	0.03766	0
17	4	down	ZONE_2_EMA20	380	501	502	503	2026-08-17 10:45:00	65.51400	65.83700	0.32300	510	2026-08-17 12:30:00	65.83300	TRAILING_SL_INTRABAR	7	-0.98762	-1.08204	0
18	4	down	ZONE_2_EMA20	380	515	516	517	2026-08-17 14:15:00	65.61600	65.90500	0.28900	524	2026-08-17 16:00:00	65.73600	TRAILING_SL_INTRABAR	7	-0.41522	-0.40640	0
