# setup_c REBOUND Zwischentest (isolierter Audit) - Fenster: AUG
# Modell: Fade kontraer zum 2-Close-Bruch | open[brk_idx+2] | Bruchkerzen-Stop + Range-Cap | EMA-Slope-Trailing Variante B
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
phase	dir	brk_idx	entry_idx	entry_ts	entry_preis	initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
1	down	66	68	2026-08-10 17:00:00	64.72900	65.01300	0.28400	71	2026-08-10 17:45:00	64.69600	TRAILING_SL_INTRABAR	3	0.12	0.11
2	up	121	123	2026-08-11 07:45:00	64.70200	64.37783	0.32417	125	2026-08-11 08:15:00	64.64500	TRAILING_SL_INTRABAR	2	-0.18	-0.20
3	down	218	220	2026-08-12 09:00:00	65.89400	66.13900	0.24500	222	2026-08-12 09:30:00	65.96800	TRAILING_SL_INTRABAR	2	-0.30	-0.25
4	up	380	382	2026-08-14 03:30:00	63.96800	63.56600	0.40200	383	2026-08-14 03:45:00	63.73600	TRAILING_SL_INTRABAR	1	-0.58	-0.81
5	up	620	622	2026-08-18 17:30:00	63.64800	63.35700	0.29100	625	2026-08-18 18:15:00	63.94300	TRAILING_SL_INTRABAR	3	1.01	1.03
6	down	715	717	2026-08-19 18:15:00	65.93000	66.19500	0.26500	720	2026-08-19 19:00:00	65.90600	TRAILING_SL_INTRABAR	3	0.09	0.08
7	down	802	804	2026-08-20 17:00:00	68.37400	68.54800	0.17400	804	2026-08-20 17:00:00	68.54800	INITIAL_SL_INTRABAR	0	-1.00	-0.57
8	down	848	850	2026-08-21 05:30:00	68.71000	69.10800	0.39800	852	2026-08-21 06:00:00	68.86700	TRAILING_SL_INTRABAR	2	-0.39	-0.51
9	up	1030	1032	2026-08-25 05:00:00	67.74400	67.38500	0.35900	1037	2026-08-25 06:15:00	67.88400	TRAILING_SL_INTRABAR	5	0.39	0.46
10	down	1082	1084	2026-08-25 18:00:00	68.82800	69.03600	0.20800	1086	2026-08-25 18:30:00	68.69100	TRAILING_SL_INTRABAR	2	0.66	0.44
11	up	1171	1173	2026-08-26 17:15:00	67.58900	67.34400	0.24500	1175	2026-08-26 17:45:00	67.88300	TRAILING_SL_INTRABAR	2	1.20	0.97
