# setup_c Phase-1-Kern (RAW live-kausal + F4 intrabar + Zeit-Exit) - Fenster: AUG26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
48	2	down	105	2026-08-04 03:15:00	58.11000	58.38100	0.27100	106	2026-08-04 03:30:00	58.38100	INITIAL_SL_INTRABAR	1	-1.00	-1.04
48	2	up	107	2026-08-04 03:45:00	58.64200	58.15900	0.48300	155	2026-08-04 15:45:00	59.67200	ZEIT_EXIT_CLOSE	48	2.13	3.90
48	3	up	203	2026-08-05 04:45:00	60.52500	59.68200	0.84300	251	2026-08-05 16:45:00	62.24200	ZEIT_EXIT_CLOSE	48	2.04	6.30
48	4	up	249	2026-08-05 16:15:00	62.50300	61.69300	0.81000	256	2026-08-05 18:00:00	61.69300	INITIAL_SL_INTRABAR	7	-1.00	-2.88
48	5	down	337	2026-08-06 15:15:00	61.16000	61.70300	0.54300	338	2026-08-06 15:30:00	61.70300	INITIAL_SL_INTRABAR	1	-1.00	-1.97
48	7	up	526	2026-08-10 16:30:00	64.50300	63.76200	0.74100	574	2026-08-11 05:30:00	65.79000	ZEIT_EXIT_CLOSE	48	1.74	4.43
48	8	up	680	2026-08-12 09:00:00	65.89400	65.57800	0.31600	715	2026-08-12 17:45:00	65.57800	INITIAL_SL_INTRABAR	35	-1.00	-1.07
48	9	down	838	2026-08-14 02:30:00	64.31700	64.68400	0.36700	870	2026-08-14 10:30:00	64.68400	INITIAL_SL_INTRABAR	32	-1.00	-1.27
48	10	up	1022	2026-08-18 02:30:00	66.37600	65.73600	0.64000	1027	2026-08-18 03:45:00	65.73600	INITIAL_SL_INTRABAR	5	-1.00	-2.14
48	10	down	1080	2026-08-18 17:00:00	64.14600	64.77700	0.63100	1128	2026-08-19 06:00:00	62.94700	ZEIT_EXIT_CLOSE	48	1.90	4.15
48	12	up	1259	2026-08-20 15:45:00	67.37800	66.56400	0.81400	1307	2026-08-21 04:45:00	68.70900	ZEIT_EXIT_CLOSE	48	1.64	4.39
48	14	down	1390	2026-08-24 02:30:00	68.97400	69.69700	0.72300	1438	2026-08-24 14:30:00	69.11600	ZEIT_EXIT_CLOSE	48	-0.20	-0.46
48	14	up	1481	2026-08-25 02:15:00	69.57800	69.26100	0.31700	1484	2026-08-25 03:00:00	69.26100	INITIAL_SL_INTRABAR	3	-1.00	-1.01
48	16	down	1624	2026-08-26 15:00:00	68.30700	69.02800	0.72100	1668	2026-08-27 03:00:00	69.02800	INITIAL_SL_INTRABAR	44	-1.00	-2.35
48	17	down	1717	2026-08-27 15:15:00	68.08300	68.37900	0.29600	1721	2026-08-27 16:15:00	68.37900	INITIAL_SL_INTRABAR	4	-1.00	-0.97
48	17	up	1761	2026-08-28 03:15:00	69.46400	68.79800	0.66600	1762	2026-08-28 03:30:00	68.79800	INITIAL_SL_INTRABAR	1	-1.00	-2.13
48	19	up	1898	2026-08-31 14:30:00	67.00300	66.83800	0.16500	1898	2026-08-31 14:30:00	66.83800	INITIAL_SL_INTRABAR	0	-1.00	-0.55
96	2	down	105	2026-08-04 03:15:00	58.11000	58.38100	0.27100	106	2026-08-04 03:30:00	58.38100	INITIAL_SL_INTRABAR	1	-1.00	-1.04
96	2	up	107	2026-08-04 03:45:00	58.64200	58.15900	0.48300	203	2026-08-05 04:45:00	60.66100	ZEIT_EXIT_CLOSE	96	4.18	7.65
96	3	up	203	2026-08-05 04:45:00	60.52500	59.68200	0.84300	299	2026-08-06 05:45:00	62.07900	ZEIT_EXIT_CLOSE	96	1.84	5.71
96	4	up	249	2026-08-05 16:15:00	62.50300	61.69300	0.81000	256	2026-08-05 18:00:00	61.69300	INITIAL_SL_INTRABAR	7	-1.00	-2.88
96	5	down	337	2026-08-06 15:15:00	61.16000	61.70300	0.54300	338	2026-08-06 15:30:00	61.70300	INITIAL_SL_INTRABAR	1	-1.00	-1.97
96	7	up	526	2026-08-10 16:30:00	64.50300	63.76200	0.74100	622	2026-08-11 17:30:00	64.59800	ZEIT_EXIT_CLOSE	96	0.13	0.33
96	8	up	680	2026-08-12 09:00:00	65.89400	65.57800	0.31600	715	2026-08-12 17:45:00	65.57800	INITIAL_SL_INTRABAR	35	-1.00	-1.07
96	9	down	838	2026-08-14 02:30:00	64.31700	64.68400	0.36700	870	2026-08-14 10:30:00	64.68400	INITIAL_SL_INTRABAR	32	-1.00	-1.27
96	10	up	1022	2026-08-18 02:30:00	66.37600	65.73600	0.64000	1027	2026-08-18 03:45:00	65.73600	INITIAL_SL_INTRABAR	5	-1.00	-2.14
96	10	down	1080	2026-08-18 17:00:00	64.14600	64.77700	0.63100	1162	2026-08-19 14:30:00	64.77700	INITIAL_SL_INTRABAR	82	-1.00	-2.19
96	12	up	1259	2026-08-20 15:45:00	67.37800	66.56400	0.81400	1355	2026-08-21 16:45:00	69.13400	ZEIT_EXIT_CLOSE	96	2.16	5.79
