# setup_c Phase-1-Kern (RAW live-kausal + F4 intrabar + Zeit-Exit) - Fenster: JUN26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
48	1	down	58	2026-06-01 14:30:00	75.52300	75.78800	0.26500	59	2026-06-01 14:45:00	75.78800	INITIAL_SL_INTRABAR	1	-1.00	-0.78
48	2	down	108	2026-06-02 04:00:00	74.81400	75.52000	0.70600	117	2026-06-02 06:15:00	75.52000	INITIAL_SL_INTRABAR	9	-1.00	-2.10
48	2	up	108	2026-06-02 04:00:00	74.81400	74.32000	0.49400	156	2026-06-02 16:00:00	75.78100	ZEIT_EXIT_CLOSE	48	1.96	2.87
48	7	down	378	2026-06-05 02:30:00	73.52800	73.99300	0.46500	426	2026-06-05 14:30:00	72.59700	ZEIT_EXIT_CLOSE	48	2.00	2.81
48	8	down	427	2026-06-05 14:45:00	72.60000	73.43500	0.83500	475	2026-06-08 03:45:00	67.80800	ZEIT_EXIT_CLOSE	48	5.74	14.67
48	8	up	427	2026-06-05 14:45:00	72.60000	72.25200	0.34800	427	2026-06-05 14:45:00	72.25200	INITIAL_SL_INTRABAR	0	-1.00	-1.07
48	9	down	491	2026-06-08 07:45:00	66.39100	67.71400	1.32300	513	2026-06-08 13:15:00	67.71400	INITIAL_SL_INTRABAR	22	-1.00	-4.43
48	10	up	616	2026-06-09 16:00:00	67.98800	67.74100	0.24700	616	2026-06-09 16:00:00	67.74100	INITIAL_SL_INTRABAR	0	-1.00	-0.81
48	10	down	619	2026-06-09 16:45:00	65.44300	67.19300	1.75000	667	2026-06-10 05:45:00	64.14900	ZEIT_EXIT_CLOSE	48	0.74	4.39
48	13	down	794	2026-06-11 14:30:00	62.93400	63.98900	1.05500	799	2026-06-11 15:45:00	63.98900	INITIAL_SL_INTRABAR	5	-1.00	-3.73
48	15	up	978	2026-06-15 14:30:00	70.80800	70.46200	0.34600	988	2026-06-15 17:00:00	70.46200	INITIAL_SL_INTRABAR	10	-1.00	-1.09
48	15	down	1263	2026-06-18 16:45:00	66.21300	66.87700	0.66400	1311	2026-06-19 05:45:00	64.07100	ZEIT_EXIT_CLOSE	48	3.23	7.19
48	19	down	1518	2026-06-23 15:15:00	62.01400	62.34800	0.33400	1519	2026-06-23 15:30:00	62.34800	INITIAL_SL_INTRABAR	1	-1.00	-1.20
48	20	down	1752	2026-06-26 04:45:00	56.04900	56.94100	0.89200	1766	2026-06-26 08:15:00	56.94100	INITIAL_SL_INTRABAR	14	-1.00	-3.54
48	21	up	1798	2026-06-26 16:15:00	59.21000	58.34200	0.86800	1834	2026-06-29 02:15:00	58.34200	INITIAL_SL_INTRABAR	36	-1.00	-3.26
48	22	down	1891	2026-06-29 16:30:00	58.07400	58.34400	0.27000	1901	2026-06-29 19:00:00	58.34400	INITIAL_SL_INTRABAR	10	-1.00	-1.03
48	22	up	1952	2026-06-30 08:45:00	58.95500	58.60800	0.34700	1958	2026-06-30 10:15:00	58.60800	INITIAL_SL_INTRABAR	6	-1.00	-1.31
96	1	down	58	2026-06-01 14:30:00	75.52300	75.78800	0.26500	59	2026-06-01 14:45:00	75.78800	INITIAL_SL_INTRABAR	1	-1.00	-0.78
96	2	down	108	2026-06-02 04:00:00	74.81400	75.52000	0.70600	117	2026-06-02 06:15:00	75.52000	INITIAL_SL_INTRABAR	9	-1.00	-2.10
96	2	up	108	2026-06-02 04:00:00	74.81400	74.32000	0.49400	189	2026-06-03 01:15:00	74.32000	INITIAL_SL_INTRABAR	81	-1.00	-1.47
96	7	down	378	2026-06-05 02:30:00	73.52800	73.99300	0.46500	474	2026-06-08 03:30:00	67.69600	ZEIT_EXIT_CLOSE	96	12.54	17.63
96	8	down	427	2026-06-05 14:45:00	72.60000	73.43500	0.83500	523	2026-06-08 15:45:00	67.92800	ZEIT_EXIT_CLOSE	96	5.60	14.30
96	8	up	427	2026-06-05 14:45:00	72.60000	72.25200	0.34800	427	2026-06-05 14:45:00	72.25200	INITIAL_SL_INTRABAR	0	-1.00	-1.07
96	9	down	491	2026-06-08 07:45:00	66.39100	67.71400	1.32300	513	2026-06-08 13:15:00	67.71400	INITIAL_SL_INTRABAR	22	-1.00	-4.43
96	10	up	616	2026-06-09 16:00:00	67.98800	67.74100	0.24700	616	2026-06-09 16:00:00	67.74100	INITIAL_SL_INTRABAR	0	-1.00	-0.81
96	10	down	619	2026-06-09 16:45:00	65.44300	67.19300	1.75000	715	2026-06-10 17:45:00	64.91000	ZEIT_EXIT_CLOSE	96	0.30	1.81
96	13	down	794	2026-06-11 14:30:00	62.93400	63.98900	1.05500	799	2026-06-11 15:45:00	63.98900	INITIAL_SL_INTRABAR	5	-1.00	-3.73
