# setup_c Phase-1-Kern (RAW live-kausal + F4 intrabar + Zeit-Exit) - Fenster: MAI26
# HANDELSPFAD: alle kausalen RAW-Trigger (KEIN Vorlauf-Filter) | suppression_phasenlokal: True | stop_puffer: 0.15 | sl_pct_ref: 0.45
# vorlauf_bars ist Diagnose (nicht Auswahl); brk_idx leer = offene Phase
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
48	1	up	58	2026-05-01 14:30:00	74.88700	73.80400	1.08300	106	2026-05-04 03:30:00	75.37200	ZEIT_EXIT_CLOSE	48	0.45	1.44
48	2	down	125	2026-05-04 08:15:00	75.02900	75.47000	0.44100	173	2026-05-04 20:15:00	72.64200	ZEIT_EXIT_CLOSE	48	5.41	7.07
48	3	down	194	2026-05-05 02:30:00	72.46600	72.96400	0.49800	196	2026-05-05 03:00:00	72.96400	INITIAL_SL_INTRABAR	2	-1.00	-1.53
48	3	up	289	2026-05-06 03:15:00	74.29200	74.06200	0.23000	337	2026-05-06 15:15:00	76.88400	ZEIT_EXIT_CLOSE	48	11.27	7.75
48	4	up	381	2026-05-07 03:15:00	77.83500	76.82400	1.01100	429	2026-05-07 15:15:00	80.98400	ZEIT_EXIT_CLOSE	48	3.11	8.99
48	5	up	433	2026-05-07 16:15:00	81.80000	81.05800	0.74200	437	2026-05-07 17:15:00	81.05800	INITIAL_SL_INTRABAR	4	-1.00	-2.02
48	6	up	610	2026-05-11 14:30:00	82.80900	80.92300	1.88600	658	2026-05-12 03:30:00	86.09300	ZEIT_EXIT_CLOSE	48	1.74	8.81
48	7	down	677	2026-05-12 08:15:00	84.81300	85.73100	0.91800	725	2026-05-12 20:15:00	85.36600	ZEIT_EXIT_CLOSE	48	-0.60	-1.45
48	8	up	801	2026-05-13 16:15:00	87.49300	86.70100	0.79200	848	2026-05-14 05:00:00	86.70100	INITIAL_SL_INTRABAR	47	-1.00	-2.01
48	9	down	889	2026-05-14 15:15:00	86.30100	86.88900	0.58800	937	2026-05-15 04:15:00	81.07900	ZEIT_EXIT_CLOSE	48	8.88	13.45
48	10	down	936	2026-05-15 04:00:00	80.77800	84.52600	3.74800	984	2026-05-15 16:00:00	76.66300	ZEIT_EXIT_CLOSE	48	1.10	11.32
48	11	down	983	2026-05-15 15:45:00	76.00000	77.25600	1.25600	997	2026-05-15 19:15:00	77.25600	INITIAL_SL_INTRABAR	14	-1.00	-3.67
48	13	up	1075	2026-05-18 15:45:00	77.56200	76.05500	1.50700	1123	2026-05-19 04:45:00	76.32700	ZEIT_EXIT_CLOSE	48	-0.82	-3.54
48	14	down	1165	2026-05-19 15:15:00	75.62200	76.18900	0.56700	1213	2026-05-20 04:15:00	73.98800	ZEIT_EXIT_CLOSE	48	2.88	4.80
48	15	down	1212	2026-05-20 04:00:00	74.17400	74.49800	0.32400	1226	2026-05-20 07:30:00	74.49800	INITIAL_SL_INTRABAR	14	-1.00	-0.97
48	15	up	1263	2026-05-20 16:45:00	76.04200	75.69800	0.34400	1264	2026-05-20 17:00:00	75.69800	INITIAL_SL_INTRABAR	1	-1.00	-1.01
48	17	down	1533	2026-05-25 15:15:00	77.48200	77.96100	0.47900	1540	2026-05-25 17:00:00	77.96100	INITIAL_SL_INTRABAR	7	-1.00	-1.37
48	18	down	1677	2026-05-27 07:45:00	75.68800	77.01100	1.32300	1725	2026-05-27 19:45:00	74.46500	ZEIT_EXIT_CLOSE	48	0.92	3.59
48	19	down	1751	2026-05-28 03:15:00	73.97700	75.09200	1.11500	1799	2026-05-28 15:15:00	73.57300	ZEIT_EXIT_CLOSE	48	0.36	1.21
48	21	down	1896	2026-05-29 16:30:00	74.76900	75.49200	0.72300	1897	2026-05-29 16:45:00	75.49200	INITIAL_SL_INTRABAR	1	-1.00	-2.15
48	21	up	1899	2026-05-29 17:15:00	76.53300	75.45800	1.07500	1902	2026-05-29 18:00:00	75.45800	INITIAL_SL_INTRABAR	3	-1.00	-3.12
96	1	up	58	2026-05-01 14:30:00	74.88700	73.80400	1.08300	140	2026-05-04 12:00:00	73.80400	INITIAL_SL_INTRABAR	82	-1.00	-3.21
96	2	down	125	2026-05-04 08:15:00	75.02900	75.47000	0.44100	221	2026-05-05 09:15:00	73.33800	ZEIT_EXIT_CLOSE	96	3.83	5.01
96	3	down	194	2026-05-05 02:30:00	72.46600	72.96400	0.49800	196	2026-05-05 03:00:00	72.96400	INITIAL_SL_INTRABAR	2	-1.00	-1.53
96	3	up	289	2026-05-06 03:15:00	74.29200	74.06200	0.23000	385	2026-05-07 04:15:00	77.83300	ZEIT_EXIT_CLOSE	96	15.40	10.59
96	4	up	381	2026-05-07 03:15:00	77.83500	76.82400	1.01100	477	2026-05-08 04:15:00	79.72100	ZEIT_EXIT_CLOSE	96	1.87	5.38
96	5	up	433	2026-05-07 16:15:00	81.80000	81.05800	0.74200	437	2026-05-07 17:15:00	81.05800	INITIAL_SL_INTRABAR	4	-1.00	-2.02
96	6	up	610	2026-05-11 14:30:00	82.80900	80.92300	1.88600	706	2026-05-12 15:30:00	85.23500	ZEIT_EXIT_CLOSE	96	1.29	6.51
96	7	down	677	2026-05-12 08:15:00	84.81300	85.73100	0.91800	726	2026-05-12 20:30:00	85.73100	INITIAL_SL_INTRABAR	49	-1.00	-2.41
96	8	up	801	2026-05-13 16:15:00	87.49300	86.70100	0.79200	848	2026-05-14 05:00:00	86.70100	INITIAL_SL_INTRABAR	47	-1.00	-2.01
96	9	down	889	2026-05-14 15:15:00	86.30100	86.88900	0.58800	985	2026-05-15 16:15:00	76.91200	ZEIT_EXIT_CLOSE	96	15.97	24.18
