ts,open,high,low,close,tick_volume
2026-02-05 00:00:00,88.37,88.872,88.021,88.852,2487
2026-02-05 00:15:00,88.851,89.433,88.326,89.39,3047
2026-02-05 00:30:00,89.39,89.903,89.147,89.902,3928
2026-02-05 00:45:00,89.914,90.277,89.437,89.617,3589
2026-02-05 01:00:00,89.618,89.881,88.811,88.836,3959
2026-02-05 01:15:00,88.839,89.914,88.823,89.803,3548
2026-02-05 01:30:00,89.802,90.06,89.574,90.045,2398
2026-02-05 01:45:00,90.046,90.388,89.441,89.614,3778
2026-02-05 02:00:00,89.614,89.942,87.874,87.93,6929
2026-02-05 02:15:00,87.904,88.36,86.862,87.35,5870
2026-02-05 02:30:00,87.362,88.28,87.349,87.766,6870
2026-02-05 02:45:00,87.757,88.059,86.619,86.646,6021
2026-02-05 03:00:00,86.645,86.787,82.236,82.942,6996
2026-02-05 03:15:00,82.943,83.913,80.521,83.817,7055
2026-02-05 03:30:00,83.819,84.273,79.205,79.457,8476
2026-02-05 03:45:00,79.467,80.162,73.961,74.339,9482
2026-02-05 04:00:00,74.339,77.427,73.491,76.153,8162
2026-02-05 04:15:00,76.153,77.596,75.285,76.121,6446
2026-02-05 04:30:00,76.109,77.136,74.206,76.673,4823
2026-02-05 04:45:00,76.686,77.486,76.06,77.101,3761
2026-02-05 05:00:00,77.072,77.461,75.742,76.89,3436
2026-02-05 05:15:00,76.886,77.895,76.59,77.299,3484
2026-02-05 05:30:00,77.3,77.498,76.556,77.07,3245
2026-02-05 05:45:00,77.071,77.505,75.869,76.177,3467
2026-02-05 06:00:00,76.1,77.129,75.935,76.297,3534
2026-02-05 06:15:00,76.29,76.544,75.069,76.169,3171
2026-02-05 06:30:00,76.17,77.102,73.85,76.617,5152
2026-02-05 06:45:00,76.627,77.962,76.454,77.339,4549
2026-02-05 07:00:00,77.328,79.141,76.458,78.7,4503
2026-02-05 07:15:00,78.679,79.122,77.869,79.0,4439
2026-02-05 07:30:00,79.001,79.192,78.08,78.9,3021
2026-02-05 07:45:00,78.899,79.573,76.93,78.412,5206
2026-02-05 08:00:00,78.407,79.645,78.057,79.167,3961
2026-02-05 08:15:00,79.167,80.218,79.066,80.102,3093
2026-02-05 08:30:00,80.114,80.389,79.143,79.733,3740
2026-02-05 08:45:00,79.732,80.138,79.191,79.981,3203
2026-02-05 09:00:00,79.983,80.507,79.653,80.395,3904
2026-02-05 09:15:00,80.394,81.024,80.321,80.56,3546
2026-02-05 09:30:00,80.564,80.862,80.213,80.585,4423
2026-02-05 09:45:00,80.585,80.586,78.989,79.741,4043
2026-02-05 10:00:00,79.717,79.972,77.952,78.078,4922
2026-02-05 10:15:00,78.078,79.147,77.626,78.596,4359
2026-02-05 10:30:00,78.583,79.484,78.559,79.438,2937
2026-02-05 10:45:00,79.413,79.49,78.113,78.622,4471
2026-02-05 11:00:00,78.621,78.898,77.777,78.592,4198
2026-02-05 11:15:00,78.583,78.824,77.974,78.266,3368
2026-02-05 11:30:00,78.264,78.668,77.816,78.486,3476
2026-02-05 11:45:00,78.487,79.086,78.216,78.539,2805
2026-02-05 12:00:00,78.537,79.407,78.531,79.318,2716
2026-02-05 12:15:00,79.317,79.469,78.736,79.052,3157
2026-02-05 12:30:00,79.052,79.094,78.034,78.052,3152
2026-02-05 12:45:00,78.054,78.569,78.05,78.343,2639
2026-02-05 13:00:00,78.343,78.848,77.233,77.365,4829
2026-02-05 13:15:00,77.36,77.63,76.087,76.938,5299
2026-02-05 13:30:00,76.929,77.414,75.982,76.071,5455
2026-02-05 13:45:00,76.071,77.103,75.469,75.979,5806
2026-02-05 14:00:00,75.978,77.075,74.666,76.449,6494
2026-02-05 14:15:00,76.429,77.405,76.271,76.73,6660
2026-02-05 14:30:00,76.74,77.799,76.13,76.186,5416
2026-02-05 14:45:00,76.189,76.763,75.691,76.032,5378
2026-02-05 15:00:00,76.038,76.038,74.796,74.796,5633
2026-02-05 15:15:00,74.795,75.353,73.951,75.265,6348
2026-02-05 15:30:00,75.264,77.032,73.459,76.883,8169
2026-02-05 15:45:00,76.891,77.574,76.089,76.352,7261
2026-02-05 16:00:00,76.352,77.146,74.21,74.245,8046
2026-02-05 16:15:00,74.244,74.993,73.612,73.846,7568
2026-02-05 16:30:00,73.852,74.651,73.023,73.055,7395
2026-02-05 16:45:00,73.055,74.128,72.246,74.036,8326
2026-02-05 17:00:00,74.031,75.033,73.878,74.377,7654
2026-02-05 17:15:00,74.376,76.349,74.28,75.93,6137
2026-02-05 17:30:00,75.999,77.194,75.793,77.04,6249
2026-02-05 17:45:00,77.04,77.529,76.133,77.087,5707
2026-02-05 18:00:00,77.08,77.153,76.017,76.649,5478
2026-02-05 18:15:00,76.653,76.927,76.067,76.428,4266
2026-02-05 18:30:00,76.425,76.953,76.133,76.52,3662
2026-02-05 18:45:00,76.533,77.513,76.454,76.616,4209
2026-02-05 19:00:00,76.598,76.732,75.542,75.678,3975
2026-02-05 19:15:00,75.68,77.861,75.157,77.354,5577
2026-02-05 19:30:00,77.379,77.379,76.424,76.893,3741
2026-02-05 19:45:00,76.901,76.987,75.775,76.059,3793
2026-02-05 20:00:00,76.059,76.431,75.684,75.735,5222
2026-02-05 20:15:00,75.735,76.214,75.698,75.801,4510
2026-02-05 20:30:00,75.799,75.895,74.333,74.682,4980
2026-02-05 20:45:00,74.677,74.88,74.3,74.663,4543
2026-02-05 21:00:00,74.668,75.351,74.064,74.925,4742
2026-02-05 21:15:00,74.928,75.031,73.938,74.521,5534
2026-02-05 21:30:00,74.519,74.678,73.661,73.847,5023
2026-02-05 21:45:00,73.837,74.037,72.682,73.59,6174
2026-02-05 22:00:00,73.588,74.267,73.426,73.727,3700
2026-02-05 22:15:00,73.728,73.855,72.482,72.876,2911
2026-02-05 22:30:00,72.901,72.909,71.081,71.145,3311
2026-02-05 22:45:00,71.141,71.641,70.634,70.841,2060
2026-02-06 00:00:00,70.224,71.137,69.954,70.24,2747
2026-02-06 00:15:00,70.24,70.306,66.875,67.794,4117
2026-02-06 00:30:00,67.792,68.351,66.982,67.509,3235
2026-02-06 00:45:00,67.509,67.859,66.904,67.141,4384
2026-02-06 01:00:00,67.14,67.305,64.637,64.782,5531
2026-02-06 01:15:00,64.783,68.146,64.013,68.015,5891
2026-02-06 01:30:00,68.011,69.693,67.889,69.477,5846
2026-02-06 01:45:00,69.497,70.177,67.971,70.107,5637
2026-02-06 02:00:00,70.108,71.43,68.45,70.288,7623
2026-02-06 02:15:00,70.274,70.676,68.541,69.349,7122
2026-02-06 02:30:00,69.355,70.452,69.269,70.05,6510
2026-02-06 02:45:00,70.046,71.344,69.716,70.861,5624
2026-02-06 03:00:00,70.852,71.374,70.079,71.053,5676
2026-02-06 03:15:00,71.046,72.323,70.794,72.265,4965
2026-02-06 03:30:00,72.267,73.364,71.867,72.197,6870
2026-02-06 03:45:00,72.198,72.362,71.305,71.715,5052
2026-02-06 04:00:00,71.715,72.597,71.05,71.463,5268
2026-02-06 04:15:00,71.481,71.805,70.482,71.609,4682
2026-02-06 04:30:00,71.606,72.173,71.451,71.609,3355
2026-02-06 04:45:00,71.595,73.031,71.594,72.902,3687
2026-02-06 05:00:00,72.902,73.174,72.468,72.565,3002
2026-02-06 05:15:00,72.564,73.088,72.16,72.657,3066
2026-02-06 05:30:00,72.66,73.105,72.311,72.411,2827
2026-02-06 05:45:00,72.421,72.774,72.216,72.412,2277
2026-02-06 06:00:00,72.384,73.121,72.297,73.053,2726
2026-02-06 06:15:00,73.056,73.901,72.839,73.603,4072
2026-02-06 06:30:00,73.595,74.163,72.714,73.97,6287
2026-02-06 06:45:00,73.972,75.05,73.426,74.969,6292
2026-02-06 07:00:00,74.978,75.307,74.234,74.267,4399
2026-02-06 07:15:00,74.269,74.769,73.264,73.603,3905
2026-02-06 07:30:00,73.602,74.014,72.461,73.206,5472
2026-02-06 07:45:00,73.205,73.699,71.864,72.479,4972
2026-02-06 08:00:00,72.479,72.918,71.787,72.13,3762
2026-02-06 08:15:00,72.131,73.149,72.09,72.869,3215
2026-02-06 08:30:00,72.871,73.087,72.335,72.961,3139
2026-02-06 08:45:00,72.96,72.961,72.185,72.213,3497
2026-02-06 09:00:00,72.219,72.967,71.465,72.804,4354
2026-02-06 09:15:00,72.837,74.11,72.788,73.764,3211
2026-02-06 09:30:00,73.766,74.333,73.462,73.546,2691
2026-02-06 09:45:00,73.546,73.904,73.416,73.653,2153
2026-02-06 10:00:00,73.641,74.091,73.123,73.552,3092
2026-02-06 10:15:00,73.527,74.38,73.501,74.3,2800
2026-02-06 10:30:00,74.299,74.444,73.902,74.008,2446
2026-02-06 10:45:00,74.01,74.282,73.875,74.038,2001
2026-02-06 11:00:00,74.081,74.404,73.889,74.177,2436
2026-02-06 11:15:00,74.183,74.241,73.329,73.503,1977
2026-02-06 11:30:00,73.503,74.092,73.434,73.932,2961
2026-02-06 11:45:00,73.934,74.261,73.827,74.187,2167
2026-02-06 12:00:00,74.187,74.482,73.597,74.47,3165
2026-02-06 12:15:00,74.483,75.009,74.236,74.655,2862
2026-02-06 12:30:00,74.659,74.892,74.307,74.627,1777
2026-02-06 12:45:00,74.627,74.769,74.328,74.607,1262
2026-02-06 13:00:00,74.607,75.011,74.406,74.605,3341
2026-02-06 13:15:00,74.609,74.705,73.747,73.919,2787
2026-02-06 13:30:00,73.919,74.507,73.822,74.416,2662
2026-02-06 13:45:00,74.416,74.904,74.416,74.86,2292
2026-02-06 14:00:00,74.861,76.127,74.73,75.441,6229
2026-02-06 14:15:00,75.445,76.264,74.724,74.923,4151
2026-02-06 14:30:00,74.925,76.127,74.914,75.788,3777
2026-02-06 14:45:00,75.789,75.797,75.219,75.506,4023
2026-02-06 15:00:00,75.501,75.934,74.917,75.45,5564
2026-02-06 15:15:00,75.442,75.643,74.241,74.726,5369
2026-02-06 15:30:00,74.727,76.398,74.397,75.892,7040
2026-02-06 15:45:00,75.891,76.42,75.585,76.262,6206
2026-02-06 16:00:00,76.271,76.925,76.007,76.395,5736
2026-02-06 16:15:00,76.39,76.89,76.113,76.862,5864
2026-02-06 16:30:00,76.862,77.016,76.157,76.405,5034
2026-02-06 16:45:00,76.407,76.494,75.368,75.718,5467
2026-02-06 17:00:00,75.718,76.413,75.421,75.896,5716
2026-02-06 17:15:00,75.896,76.153,74.831,75.656,5296
2026-02-06 17:30:00,75.659,76.246,75.437,76.238,4835
2026-02-06 17:45:00,76.238,76.58,76.093,76.396,4444
2026-02-06 18:00:00,76.396,76.841,76.261,76.54,3262
2026-02-06 18:15:00,76.54,76.799,76.376,76.746,3220
2026-02-06 18:30:00,76.752,77.147,76.384,76.723,3104
2026-02-06 18:45:00,76.723,77.57,76.712,77.44,3595
2026-02-06 19:00:00,77.441,78.119,77.435,77.779,4282
2026-02-06 19:15:00,77.781,77.824,76.839,77.464,5318
2026-02-06 19:30:00,77.463,77.697,77.104,77.512,2823
2026-02-06 19:45:00,77.512,77.653,77.081,77.235,1968
2026-02-06 20:00:00,77.235,77.491,77.08,77.193,2432
2026-02-06 20:15:00,77.192,77.505,77.13,77.13,996
2026-02-06 20:30:00,77.13,77.324,76.981,77.096,1089
2026-02-06 20:45:00,77.096,77.606,77.085,77.386,838
2026-02-06 21:00:00,77.386,77.67,77.245,77.376,1370
2026-02-06 21:15:00,77.378,77.541,77.141,77.432,2664
2026-02-06 21:30:00,77.432,77.436,76.541,77.125,3969
2026-02-06 21:45:00,77.124,77.565,76.997,77.435,4936
2026-02-06 22:00:00,77.436,77.464,76.976,77.035,2055
2026-02-06 22:15:00,77.032,77.515,76.937,77.452,1502
2026-02-06 22:30:00,77.453,77.748,77.445,77.662,1605
2026-02-06 22:45:00,77.663,78.056,77.633,78.053,992
2026-02-09 00:00:00,79.083,79.675,78.457,78.887,3141
2026-02-09 00:15:00,78.889,79.886,78.888,79.857,4492
2026-02-09 00:30:00,79.857,80.052,79.258,79.961,4097
2026-02-09 00:45:00,79.96,80.147,79.66,79.808,2673
2026-02-09 01:00:00,79.803,79.981,79.09,79.107,3877
2026-02-09 01:15:00,79.109,79.669,78.961,79.327,3826
2026-02-09 01:30:00,79.33,80.005,79.235,79.904,2913
2026-02-09 01:45:00,79.905,79.907,79.357,79.495,3590
2026-02-09 02:00:00,79.495,80.396,79.383,80.388,5483
2026-02-09 02:15:00,80.387,81.637,80.246,80.982,5192
2026-02-09 02:30:00,80.986,81.433,80.031,81.033,5350
2026-02-09 02:45:00,81.033,81.377,80.155,80.218,5169
2026-02-09 03:00:00,80.219,80.636,79.639,80.539,5236
2026-02-09 03:15:00,80.539,81.044,80.278,80.882,2394
2026-02-09 03:30:00,80.896,81.255,80.573,80.874,3518
2026-02-09 03:45:00,80.909,81.151,80.409,80.899,3454
2026-02-09 04:00:00,80.897,81.372,80.847,81.357,3032
2026-02-09 04:15:00,81.359,81.373,80.904,81.22,3526
2026-02-09 04:30:00,81.225,81.514,81.127,81.189,2154
2026-02-09 04:45:00,81.193,81.332,80.85,80.997,1985
2026-02-09 05:00:00,80.997,81.37,80.851,81.317,1504
2026-02-09 05:15:00,81.317,81.492,81.084,81.241,1757
2026-02-09 05:30:00,81.242,81.999,81.21,81.77,1830
