# setup_c Phase-1-Kern (EMA-Slope-Trailing (Variante B)) - Fenster: S1
# suppression_phasenlokal: True | cluster_a_max_vorlauf: 1 | stop_puffer: 0.15 | sl_pct_ref: 0.45
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
300	2	up	186	2026-02-09 00:30:00	79.85700	78.73800	1.11900	218	2026-02-09 08:30:00	80.88800	TRAILING_SL_INTRABAR	32	0.92	2.87
300	5	up	400	2026-02-11 08:00:00	83.39400	82.07100	1.32300	430	2026-02-11 15:30:00	84.57700	TRAILING_SL_INTRABAR	30	0.89	3.15
300	10	up	876	2026-02-18 14:30:00	76.35100	75.74300	0.60800	899	2026-02-18 20:15:00	77.17000	TRAILING_SL_INTRABAR	23	1.35	2.38
300	14	down	1133	2026-02-23 09:45:00	86.08200	86.93900	0.85700	1135	2026-02-23 10:15:00	86.60400	TRAILING_SL_INTRABAR	2	-0.61	-1.35
300	16	down	1246	2026-02-24 15:00:00	86.17400	87.82900	1.65500	1251	2026-02-24 16:15:00	87.53900	TRAILING_SL_INTRABAR	5	-0.82	-3.52
300	22	down	1674	2026-03-03 07:00:00	86.91900	89.43300	2.51400	1714	2026-03-03 17:00:00	82.61600	TRAILING_SL_INTRABAR	40	1.71	11.00
300	31	down	2906	2026-03-20 15:00:00	70.20100	71.86100	1.66000	2936	2026-03-22 23:30:00	69.55400	TRAILING_SL_INTRABAR	30	0.39	2.05
300	42	up	3979	2026-04-08 08:15:00	77.36400	76.75100	0.61300	3986	2026-04-08 10:00:00	76.75100	INITIAL_SL_INTRABAR	7	-1.00	-1.76
300	47	up	4383	2026-04-14 17:15:00	78.63500	77.76700	0.86800	4414	2026-04-15 02:00:00	79.29300	TRAILING_SL_INTRABAR	31	0.76	1.86
300	48	down	4451	2026-04-15 11:15:00	78.84700	79.48300	0.63600	4466	2026-04-15 15:00:00	79.09200	TRAILING_SL_INTRABAR	15	-0.39	-0.69
300	52	up	4743	2026-04-20 15:15:00	80.00700	79.39000	0.61700	4749	2026-04-20 16:45:00	79.39000	INITIAL_SL_INTRABAR	6	-1.00	-1.71
300	54	down	4841	2026-04-21 16:45:00	77.65400	78.73900	1.08500	4860	2026-04-21 21:30:00	77.05700	TRAILING_SL_INTRABAR	19	0.55	1.71
300	66	up	6120	2026-05-11 14:30:00	82.80900	80.92300	1.88600	6166	2026-05-12 03:00:00	85.98100	TRAILING_SL_INTRABAR	46	1.68	8.51
300	67	down	6187	2026-05-12 08:15:00	84.81300	85.73100	0.91800	6213	2026-05-12 14:45:00	84.46900	TRAILING_SL_INTRABAR	26	0.37	0.90
300	69	down	6399	2026-05-14 15:15:00	86.30100	86.88900	0.58800	6508	2026-05-15 19:30:00	77.35100	TRAILING_SL_INTRABAR	109	15.22	23.05
300	70	down	6446	2026-05-15 04:00:00	80.77800	84.52600	3.74800	6508	2026-05-15 19:30:00	77.35100	TRAILING_SL_INTRABAR	62	0.91	9.43
300	71	down	6493	2026-05-15 15:45:00	76.00000	77.25600	1.25600	6507	2026-05-15 19:15:00	77.25600	INITIAL_SL_INTRABAR	14	-1.00	-3.67
300	73	up	6585	2026-05-18 15:45:00	77.56200	76.05500	1.50700	6589	2026-05-18 16:45:00	76.29600	TRAILING_SL_INTRABAR	4	-0.84	-3.63
300	74	down	6675	2026-05-19 15:15:00	75.62200	76.18900	0.56700	6691	2026-05-19 19:15:00	74.87200	TRAILING_SL_INTRABAR	16	1.32	2.20
300	79	down	7261	2026-05-28 03:15:00	73.97700	75.09200	1.11500	7279	2026-05-28 07:45:00	73.08200	TRAILING_SL_INTRABAR	18	0.80	2.69
300	82	up	7555	2026-06-02 07:45:00	76.67100	75.81900	0.85200	7570	2026-06-02 11:30:00	76.27900	TRAILING_SL_INTRABAR	15	-0.46	-1.14
300	87	down	7810	2026-06-05 02:30:00	73.52800	73.99300	0.46500	7841	2026-06-05 10:15:00	72.67000	TRAILING_SL_INTRABAR	31	1.85	2.59
300	88	down	7859	2026-06-05 14:45:00	72.60000	73.43500	0.83500	7900	2026-06-08 02:00:00	68.21300	TRAILING_SL_INTRABAR	41	5.25	13.43
300	88	up	7859	2026-06-05 14:45:00	72.60000	72.25200	0.34800	7859	2026-06-05 14:45:00	72.25200	INITIAL_SL_INTRABAR	0	-1.00	-1.07
300	89	down	7923	2026-06-08 07:45:00	66.39100	67.71400	1.32300	7944	2026-06-08 13:00:00	67.41500	TRAILING_SL_INTRABAR	21	-0.77	-3.43
300	90	down	8051	2026-06-09 16:45:00	65.44300	67.19300	1.75000	8107	2026-06-10 07:45:00	64.32700	TRAILING_SL_INTRABAR	56	0.64	3.79
300	93	down	8226	2026-06-11 14:30:00	62.93400	63.98900	1.05500	8231	2026-06-11 15:45:00	63.84600	TRAILING_SL_INTRABAR	5	-0.86	-3.22
300	100	down	9184	2026-06-26 04:45:00	56.04900	56.94100	0.89200	9198	2026-06-26 08:15:00	56.94100	INITIAL_SL_INTRABAR	14	-1.00	-3.54
300	101	up	9230	2026-06-26 16:15:00	59.21000	58.34200	0.86800	9245	2026-06-26 20:00:00	58.96600	TRAILING_SL_INTRABAR	15	-0.28	-0.92
300	104	up	9506	2026-07-01 16:15:00	60.37400	58.85700	1.51700	9521	2026-07-01 20:00:00	59.82500	TRAILING_SL_INTRABAR	15	-0.36	-2.02
300	105	up	9552	2026-07-02 04:45:00	60.01800	59.25100	0.76700	9562	2026-07-02 07:15:00	59.79600	TRAILING_SL_INTRABAR	10	-0.29	-0.82
300	106	up	9598	2026-07-02 16:15:00	61.64300	60.10800	1.53500	9607	2026-07-02 18:30:00	60.73100	TRAILING_SL_INTRABAR	9	-0.59	-3.29
300	110	down	9927	2026-07-08 10:30:00	59.69300	60.81600	1.12300	9963	2026-07-08 19:30:00	58.31300	TRAILING_SL_INTRABAR	36	1.23	5.14
300	117	up	10817	2026-07-22 03:00:00	59.18100	58.76200	0.41900	10835	2026-07-22 07:30:00	59.47900	TRAILING_SL_INTRABAR	18	0.71	1.12
300	118	up	10868	2026-07-22 15:45:00	59.99200	59.33800	0.65400	10882	2026-07-22 19:15:00	59.85900	TRAILING_SL_INTRABAR	14	-0.20	-0.49
