============================================================================================================
SETUP C EMA-SLOPE-TRAILING (Variante B) | Fenster S1 | N=300
Zeitraum: 2026-02-05 .. 2026-08-28  (ende-exklusiv)
Trades: n=38  gewertet=38  zensiert=0
Summe R (r_f4): +26.56R   Summe r_ref: +64.92R
Mean R: 0.70   Median R: 0.38
Winrate: 52.6%  (20W/18L)
Profit Faktor: 3.14
Bester Trade: +15.22R   Schlechtester: -1.00R
Max Gewinnserie: 3 (Summe +3.16R)
Max Verlustserie: 6 (Summe -3.39R)
Max Drawdown (R-Kurve): -3.53R
Exit: INITIAL_SL_INTRABAR=5 | ZEIT_EXIT_CLOSE=0 | TRAILING_SL_INTRABAR=33
mittl. Haltedauer: 25 Bars
============================================================================================================

ALLE TRADES (chronologisch je Horizont, inkl. Zeitstempel):
  N | Phase | Dir  | Entry-TS          |   Entry | Exit-TS           |    Exit | Exit-Grund        |   HD |   r_f4 |  r_ref
------------------------------------------------------------------------------------------------------------
300 | P2   | up   | 2026-02-09 00:30 |   79.857 | 2026-02-09 08:30 |   80.888 | TRAILING_SL_INTRABAR   |   32 |   +0.92 |   +2.87
300 | P5   | up   | 2026-02-11 08:00 |   83.394 | 2026-02-11 15:30 |   84.577 | TRAILING_SL_INTRABAR   |   30 |   +0.89 |   +3.15
300 | P10  | up   | 2026-02-18 14:30 |   76.351 | 2026-02-18 20:15 |   77.170 | TRAILING_SL_INTRABAR   |   23 |   +1.35 |   +2.38
300 | P14  | down | 2026-02-23 09:45 |   86.082 | 2026-02-23 10:15 |   86.604 | TRAILING_SL_INTRABAR   |    2 |   -0.61 |   -1.35
300 | P16  | down | 2026-02-24 15:00 |   86.174 | 2026-02-24 16:15 |   87.539 | TRAILING_SL_INTRABAR   |    5 |   -0.82 |   -3.52
300 | P22  | down | 2026-03-03 07:00 |   86.919 | 2026-03-03 17:00 |   82.616 | TRAILING_SL_INTRABAR   |   40 |   +1.71 |  +11.00
300 | P31  | down | 2026-03-20 15:00 |   70.201 | 2026-03-22 23:30 |   69.554 | TRAILING_SL_INTRABAR   |   30 |   +0.39 |   +2.05
300 | P42  | up   | 2026-04-08 08:15 |   77.364 | 2026-04-08 10:00 |   76.751 | INITIAL_SL_INTRABAR    |    7 |   -1.00 |   -1.76
300 | P47  | up   | 2026-04-14 17:15 |   78.635 | 2026-04-15 02:00 |   79.293 | TRAILING_SL_INTRABAR   |   31 |   +0.76 |   +1.86
300 | P48  | down | 2026-04-15 11:15 |   78.847 | 2026-04-15 15:00 |   79.092 | TRAILING_SL_INTRABAR   |   15 |   -0.39 |   -0.69
300 | P52  | up   | 2026-04-20 15:15 |   80.007 | 2026-04-20 16:45 |   79.390 | INITIAL_SL_INTRABAR    |    6 |   -1.00 |   -1.71
300 | P54  | down | 2026-04-21 16:45 |   77.654 | 2026-04-21 21:30 |   77.057 | TRAILING_SL_INTRABAR   |   19 |   +0.55 |   +1.71
