# setup_c Gate-Modus (Gated-Portfolio, --mit-regime-gate) - Fenster: S2
# suppression_phasenlokal: True | cluster_a_max_vorlauf: 1 | stop_puffer: 0.15 | sl_pct_ref: 0.45
# Portfolio (§2.16-F.1): TREND -> RAW-A@96 + RAW-B@96 (Bruchrichtung) | SHAKEOUT/UNKLAR -> RAW-A@48
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
regime	arm	horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
TREND	RAW-B	96	1	up	57	2025-01-02 14:15:00	29.23300	29.06700	0.16600	153	2025-01-03 15:15:00	29.82800	ZEIT_EXIT_CLOSE	96	3.58	4.52
TREND	RAW-B	96	2	up	329	2025-01-07 13:15:00	30.21000	30.03900	0.17100	340	2025-01-07 16:00:00	30.03900	INITIAL_SL_INTRABAR	11	-1.00	-1.26
TREND	RAW-B	96	3	up	1964	2025-01-31 10:15:00	31.58900	31.42500	0.16400	1985	2025-01-31 15:30:00	31.42500	INITIAL_SL_INTRABAR	21	-1.00	-1.15
TREND	RAW-B	96	4	up	2236	2025-02-05 09:15:00	32.33400	32.09886	0.23514	2257	2025-02-05 14:30:00	32.09886	INITIAL_SL_INTRABAR	21	-1.00	-1.62
TREND	RAW-B	96	5	up	4186	2025-03-06 16:00:00	32.60800	32.34500	0.26300	4270	2025-03-07 14:00:00	32.34500	INITIAL_SL_INTRABAR	84	-1.00	-1.79
TREND	RAW-B	96	7	up	9789	2025-06-02 16:15:00	34.26100	33.91200	0.34900	9885	2025-06-03 17:15:00	34.46300	ZEIT_EXIT_CLOSE	96	0.58	1.31
TREND	RAW-B	96	8	up	10041	2025-06-05 10:15:00	34.62000	34.44000	0.18000	10137	2025-06-06 11:15:00	36.06700	ZEIT_EXIT_CLOSE	96	8.04	9.29
TREND	RAW-B	96	9	up	10112	2025-06-06 05:00:00	35.97700	35.74300	0.23400	10208	2025-06-09 06:00:00	35.98600	ZEIT_EXIT_CLOSE	96	0.04	0.06
TREND	RAW-B	96	13	up	12862	2025-07-18 09:00:00	38.31600	38.05200	0.26400	12958	2025-07-21 10:00:00	38.41500	ZEIT_EXIT_CLOSE	96	0.37	0.57
TREND	RAW-B	96	16	up	13894	2025-08-04 14:00:00	37.32400	37.10100	0.22300	13990	2025-08-05 15:00:00	37.50900	ZEIT_EXIT_CLOSE	96	0.83	1.10
TREND	RAW-B	96	17	up	14055	2025-08-06 08:15:00	37.83300	37.64000	0.19300	14070	2025-08-06 12:00:00	37.64000	INITIAL_SL_INTRABAR	15	-1.00	-1.13
TREND	RAW-B	96	18	up	14243	2025-08-08 09:15:00	38.35300	38.11400	0.23900	14285	2025-08-08 19:45:00	38.11400	INITIAL_SL_INTRABAR	42	-1.00	-1.38
TREND	RAW-B	96	19	up	15533	2025-08-28 09:45:00	38.87400	38.59200	0.28200	15629	2025-08-29 10:45:00	38.97400	ZEIT_EXIT_CLOSE	96	0.35	0.57
TREND	RAW-B	96	21	up	15769	2025-09-02 02:15:00	40.65100	40.41200	0.23900	15800	2025-09-02 10:00:00	40.41200	INITIAL_SL_INTRABAR	31	-1.00	-1.31
TREND	RAW-B	96	22	up	16100	2025-09-05 16:00:00	41.28800	41.06300	0.22500	16101	2025-09-05 16:15:00	41.06300	INITIAL_SL_INTRABAR	1	-1.00	-1.21
TREND	RAW-B	96	24	up	16660	2025-09-15 18:00:00	42.57700	42.13283	0.44417	16756	2025-09-16 19:00:00	42.54300	ZEIT_EXIT_CLOSE	96	-0.08	-0.18
TREND	RAW-B	96	27	up	16923	2025-09-18 14:45:00	41.84900	41.60400	0.24500	16926	2025-09-18 15:30:00	41.60400	INITIAL_SL_INTRABAR	3	-1.00	-1.30
TREND	RAW-A	96	28	up	17025	2025-09-19 17:15:00	42.71900	42.13225	0.58675	17121	2025-09-22 18:15:00	43.88200	ZEIT_EXIT_CLOSE	96	1.98	6.05
TREND	RAW-B	96	31	up	17184	2025-09-23 11:00:00	44.09400	43.86900	0.22500	17225	2025-09-23 21:15:00	43.86900	INITIAL_SL_INTRABAR	41	-1.00	-1.13
TREND	RAW-B	96	32	up	17451	2025-09-26 08:45:00	45.07200	44.87100	0.20100	17547	2025-09-29 09:45:00	46.68100	ZEIT_EXIT_CLOSE	96	8.00	7.93
TREND	RAW-B	96	33	up	17527	2025-09-29 04:45:00	46.52700	46.28100	0.24600	17623	2025-09-30 05:45:00	47.00900	ZEIT_EXIT_CLOSE	96	1.96	2.30
TREND	RAW-B	96	35	up	17705	2025-10-01 03:15:00	46.74700	46.51500	0.23200	17801	2025-10-02 04:15:00	47.27500	ZEIT_EXIT_CLOSE	96	2.28	2.51
TREND	RAW-B	96	36	up	17754	2025-10-01 15:30:00	47.40400	47.08500	0.31900	17790	2025-10-02 01:30:00	47.08500	INITIAL_SL_INTRABAR	36	-1.00	-1.50
TREND	RAW-B	96	37	up	18001	2025-10-06 08:15:00	48.43900	48.11500	0.32400	18026	2025-10-06 14:30:00	48.11500	INITIAL_SL_INTRABAR	25	-1.00	-1.49
TREND	RAW-A	96	39	up	18302	2025-10-09 14:30:00	49.96300	49.40267	0.56033	18318	2025-10-09 18:30:00	49.40267	INITIAL_SL_INTRABAR	16	-1.00	-2.49
TREND	RAW-B	96	40	up	18448	2025-10-13 06:00:00	51.18700	50.79400	0.39300	18472	2025-10-13 12:00:00	50.79400	INITIAL_SL_INTRABAR	24	-1.00	-1.71
TREND	RAW-B	96	42	up	18766	2025-10-16 16:30:00	53.63800	53.24300	0.39500	18848	2025-10-17 14:00:00	53.24300	INITIAL_SL_INTRABAR	82	-1.00	-1.64
TREND	RAW-B	96	48	up	19684	2025-10-30 15:00:00	48.38000	48.04900	0.33100	19780	2025-10-31 16:00:00	48.88800	ZEIT_EXIT_CLOSE	96	1.53	2.33
TREND	RAW-B	96	49	up	20273	2025-11-10 02:30:00	49.16800	48.68200	0.48600	20369	2025-11-11 03:30:00	50.65800	ZEIT_EXIT_CLOSE	96	3.07	6.73
TREND	RAW-B	96	51	up	20412	2025-11-11 14:15:00	51.08600	50.72200	0.36400	20418	2025-11-11 15:45:00	50.72200	INITIAL_SL_INTRABAR	6	-1.00	-1.58
TREND	RAW-B	96	55	up	20854	2025-11-18 09:45:00	50.18800	49.79500	0.39300	20950	2025-11-19 10:45:00	52.13400	ZEIT_EXIT_CLOSE	96	4.95	8.62
TREND	RAW-B	96	56	up	20918	2025-11-19 02:45:00	50.74700	50.48600	0.26100	20979	2025-11-19 18:00:00	50.48600	INITIAL_SL_INTRABAR	61	-1.00	-1.14
TREND	RAW-B	96	58	up	21378	2025-11-26 02:45:00	51.59900	51.34800	0.25100	21474	2025-11-27 03:45:00	52.74300	ZEIT_EXIT_CLOSE	96	4.56	4.93
TREND	RAW-B	96	59	up	21493	2025-11-27 08:30:00	53.80200	53.20240	0.59960	21503	2025-11-27 11:00:00	53.20240	INITIAL_SL_INTRABAR	10	-1.00	-2.48
TREND	RAW-B	96	60	up	21548	2025-11-28 01:45:00	53.45100	53.29600	0.15500	21560	2025-11-28 04:45:00	53.29600	INITIAL_SL_INTRABAR	12	-1.00	-0.64
TREND	RAW-A	96	61	up	21601	2025-11-28 15:00:00	54.16200	53.75400	0.40800	21623	2025-11-28 20:30:00	56.35500	RECHTS_ZENSIERT	22	-	-
