# setup_c SWING_REVERSAL (isolierter Audit) - Fenster: S1
# Modell: Fade kontraer zum 2-Close-Bruch | Sequenz k_exh(Sweep+Docht) -> k_trig(Slope-Kipp) | strikte Invalidierung (F-A) | terminaler Zeit-Exit N=48 | arm=SWING_REVERSAL
# RECHTS_ZENSIERT: r_f4/r_ref = NaN (E2, strikt isoliert)
horizont	phase	dir	entry_idx	entry_ts	entry_preis	f4_initial_stop	sl_usd	exit_idx	exit_ts	exit_preis	exit_grund	haltezeit_bars	r_f4	r_ref
48	11	down	954	2026-02-19 11:00:00	78.57900	79.60200	1.02300	969	2026-02-19 14:45:00	78.33300	TRAILING_SL_INTRABAR	15	0.24	0.70
48	23	up	1741	2026-03-04 00:45:00	82.99800	82.25300	0.74500	1742	2026-03-04 01:00:00	82.25300	INITIAL_SL_INTRABAR	1	-1.00	-1.99
48	29	up	2736	2026-03-18 18:30:00	77.30900	75.55667	1.75233	2737	2026-03-18 18:45:00	77.12500	TRAILING_SL_INTRABAR	1	-0.11	-0.53
48	32	up	2975	2026-03-23 09:15:00	64.95100	63.17500	1.77600	2980	2026-03-23 10:30:00	63.68900	TRAILING_SL_INTRABAR	5	-0.71	-4.32
48	40	down	3820	2026-04-06 14:30:00	73.01700	73.69800	0.68100	3840	2026-04-06 19:30:00	72.92900	TRAILING_SL_INTRABAR	20	0.13	0.27
48	41	up	3928	2026-04-07 18:30:00	71.62200	71.01150	0.61050	3938	2026-04-07 21:00:00	71.27500	TRAILING_SL_INTRABAR	10	-0.57	-1.08
48	62	up	5661	2026-05-04 14:45:00	73.93500	73.31520	0.61980	5662	2026-05-04 15:00:00	73.69200	TRAILING_SL_INTRABAR	1	-0.39	-0.73
48	72	up	6547	2026-05-18 06:15:00	75.56500	74.49900	1.06600	6551	2026-05-18 07:15:00	75.15100	TRAILING_SL_INTRABAR	4	-0.39	-1.22
48	82	down	7570	2026-06-02 11:30:00	76.35100	77.14600	0.79500	7577	2026-06-02 13:15:00	76.39400	TRAILING_SL_INTRABAR	7	-0.05	-0.13
48	85	up	7712	2026-06-04 01:00:00	73.13100	72.52317	0.60783	7717	2026-06-04 02:15:00	73.04800	TRAILING_SL_INTRABAR	5	-0.14	-0.25
48	92	down	8154	2026-06-10 19:30:00	64.63500	65.33400	0.69900	8156	2026-06-10 20:00:00	64.90900	TRAILING_SL_INTRABAR	2	-0.39	-0.94
48	97	down	8838	2026-06-22 10:15:00	65.95000	66.56600	0.61600	8841	2026-06-22 11:00:00	66.17700	TRAILING_SL_INTRABAR	3	-0.37	-0.76
48	103	up	9481	2026-07-01 10:00:00	57.67800	57.00200	0.67600	9521	2026-07-01 20:00:00	59.82500	TRAILING_SL_INTRABAR	40	3.18	8.27
48	113	up	10507	2026-07-16 17:30:00	56.36100	56.17000	0.19100	10509	2026-07-16 18:00:00	56.17000	INITIAL_SL_INTRABAR	2	-1.00	-0.75
48	115	down	10651	2026-07-20 07:30:00	56.61600	57.49900	0.88300	10659	2026-07-20 09:30:00	56.62900	TRAILING_SL_INTRABAR	8	-0.01	-0.05
48	122	up	11155	2026-07-27 18:30:00	58.83700	58.16600	0.67100	11157	2026-07-27 19:00:00	58.58300	TRAILING_SL_INTRABAR	2	-0.38	-0.96
48	124	down	11703	2026-08-04 17:30:00	59.37900	60.14500	0.76600	11704	2026-08-04 17:45:00	59.67800	TRAILING_SL_INTRABAR	1	-0.39	-1.12
48	134	down	12818	2026-08-20 20:15:00	67.78100	69.12200	1.34100	12819	2026-08-20 20:30:00	68.03600	TRAILING_SL_INTRABAR	1	-0.19	-0.84
48	137	down	13105	2026-08-26 00:00:00	68.68400	69.36000	0.67600	13106	2026-08-26 00:15:00	68.86000	TRAILING_SL_INTRABAR	1	-0.26	-0.57
