STATISTIK 2026-08-10 - 2026-08-28
# CALLS (LONG):   7   # SELLS (SHORT): 18
WINRATE:  52%  (13W/12L/0N)
avg CRV:  2.09
Summe R:  +34.87
Gesamtgewinn: +15.69% (Risiko 0.45%/Trade)

=== SETUP B: RECLAIM-SIGNALE (alle Trades) ===
Parameter: SL_PCT=0.45 | TP2_PUFFER_PCT=0.2 | Split 25/75 | TRAILING_PCT=0.0 | MIN_RECLAIM_BOUNCE=2 | MIN_RECLAIM_CRV=1.0 | Cooldown=12 Bars | KEIN SL-NACHZUG
Nr | Phase | Signal-Bar(ts)      | Typ   | Reclaim  | EntryBar | Entry   | SL      | TP1     | TP2     | CRV   | CRV2  | Bo | Exit1   | Grund | R1    | Exit2   | Grund | R2    | R-mult | Resultat
 1 | P1  | 2026-08-10 02:00 | SHORT | in_bar   |        9 | 63.966 | 64.254 | 63.658 | 63.574 | 1.07 | 1.36 |  2 | 63.658 | TP1   | +1.07 | 63.574 | TP2   | +1.36 | +1.29 | GEWONNEN
 2 | P1  | 2026-08-10 03:30 | LONG  | in_bar   |       15 | 63.252 | 62.967 | 63.638 | 63.763 | 1.36 | 1.80 |  2 | 63.638 | TP1   | +1.36 | 63.763 | TP2   | +1.80 | +1.69 | GEWONNEN
 3 | P1  | 2026-08-10 08:45 | SHORT | next_bar |       37 | 64.163 | 64.452 | 63.628 | 63.138 | 1.85 | 3.55 |  2 | 63.628 | TP1   | +1.85 | 64.452 | SL    | -1.00 | -0.29 | VERLOREN
 4 | P2  | 2026-08-10 18:00 | SHORT | in_bar   |       73 | 65.098 | 65.391 | 64.655 | 64.574 | 1.51 | 1.79 |  2 | 65.391 | SL    | -1.00 | 65.391 | SL    | -1.00 | -1.00 | VERLOREN
 5 | P2  | 2026-08-10 21:45 | SHORT | in_bar   |       88 | 65.722 | 66.018 | 65.099 | 64.654 | 2.11 | 3.61 |  2 | 66.018 | SL    | -1.00 | 66.018 | SL    | -1.00 | -1.00 | VERLOREN
 6 | P2  | 2026-08-11 04:00 | SHORT | in_bar   |      109 | 66.294 | 66.592 | 65.771 | 64.641 | 1.75 | 5.54 |  2 | 65.771 | TP1   | +1.75 | 64.641 | TP2   | +5.54 | +4.59 | GEWONNEN
 7 | P3  | 2026-08-11 07:30 | LONG  | in_bar   |      123 | 64.702 | 64.411 | 65.032 | 65.163 | 1.13 | 1.58 |  2 | 64.411 | SL    | -1.00 | 64.411 | SL    | -1.00 | -1.00 | VERLOREN
 8 | P3  | 2026-08-11 12:15 | SHORT | next_bar |      143 | 64.968 | 65.260 | 64.485 | 64.413 | 1.65 | 1.90 |  3 | 65.260 | SL    | -1.00 | 65.260 | SL    | -1.00 | -1.00 | VERLOREN
 9 | P5  | 2026-08-17 04:30 | SHORT | in_bar   |      479 | 65.561 | 65.856 | 64.732 | 63.794 | 2.81 | 5.99 |  3 | 65.856 | SL    | -1.00 | 65.856 | SL    | -1.00 | -1.00 | VERLOREN
10 | P5  | 2026-08-17 07:30 | SHORT | in_bar   |      491 | 65.769 | 66.065 | 64.732 | 63.794 | 3.50 | 6.67 |  3 | 66.065 | SL    | -1.00 | 66.065 | SL    | -1.00 | -1.00 | VERLOREN
