STATISTIK 2025-01-01 - 2025-12-01
# CALLS (LONG):  115   # SELLS (SHORT): 90
WINRATE:  34%  (69W/136L/0N)
avg CRV:  2.97
Summe R:  +74.58
Gesamtgewinn: +33.56% (Risiko 0.45%/Trade)

=== SETUP B: RECLAIM-SIGNALE (alle Trades) ===
Parameter: SL_PCT=0.45 | TP2_PUFFER_PCT=0.2 | Split 25/75 | TRAILING_PCT=0.0 | MIN_RECLAIM_BOUNCE=2 | MIN_RECLAIM_CRV=1.0 | Cooldown=12 Bars | KEIN SL-NACHZUG
Nr | Phase | Signal-Bar(ts)      | Typ   | Reclaim  | EntryBar | Entry   | SL      | TP1     | TP2     | CRV   | CRV2  | Bo | Exit1   | Grund | R1    | Exit2   | Grund | R2    | R-mult | Resultat
 1 | P1  | 2025-01-02 17:45 | SHORT | in_bar   |       72 | 29.556 | 29.689 | 29.395 | 29.221 | 1.21 | 2.52 |  4 | 29.395 | TP1   | +1.21 | 29.689 | SL    | -1.00 | -0.45 | VERLOREN
 2 | P1  | 2025-01-02 21:45 | SHORT | in_bar   |       88 | 29.538 | 29.671 | 29.400 | 29.236 | 1.04 | 2.27 |  6 | 29.671 | SL    | -1.00 | 29.671 | SL    | -1.00 | -1.00 | VERLOREN
 3 | P1  | 2025-01-03 03:15 | SHORT | in_bar   |      106 | 29.581 | 29.714 | 29.408 | 29.243 | 1.30 | 2.54 |  6 | 29.714 | SL    | -1.00 | 29.714 | SL    | -1.00 | -1.00 | VERLOREN
 4 | P1  | 2025-01-03 08:45 | SHORT | in_bar   |      128 | 29.604 | 29.737 | 29.403 | 29.248 | 1.51 | 2.67 |  9 | 29.737 | SL    | -1.00 | 29.737 | SL    | -1.00 | -1.00 | VERLOREN
 5 | P1  | 2025-01-03 13:15 | SHORT | in_bar   |      146 | 29.744 | 29.878 | 29.413 | 29.227 | 2.47 | 3.86 |  8 | 29.878 | SL    | -1.00 | 29.878 | SL    | -1.00 | -1.00 | VERLOREN
 6 | P2  | 2025-01-07 14:15 | SHORT | in_bar   |      334 | 30.278 | 30.414 | 30.036 | 29.841 | 1.78 | 3.21 |  6 | 30.036 | TP1   | +1.78 | 29.841 | TP2   | +3.21 | +2.85 | GEWONNEN
 7 | P2  | 2025-01-09 12:15 | SHORT | in_bar   |      510 | 30.320 | 30.456 | 30.058 | 29.934 | 1.92 | 2.83 | 12 | 30.456 | SL    | -1.00 | 30.456 | SL    | -1.00 | -1.00 | VERLOREN
 8 | P2  | 2025-01-09 15:30 | SHORT | next_bar |      524 | 30.348 | 30.485 | 30.057 | 29.911 | 2.13 | 3.20 | 15 | 30.057 | TP1   | +2.13 | 30.485 | SL    | -1.00 | -0.22 | VERLOREN
 9 | P2  | 2025-01-10 09:30 | SHORT | in_bar   |      591 | 30.320 | 30.456 | 30.072 | 29.926 | 1.82 | 2.89 | 20 | 30.072 | TP1   | +1.82 | 30.456 | SL    | -1.00 | -0.30 | VERLOREN
10 | P2  | 2025-01-10 12:30 | SHORT | in_bar   |      603 | 30.358 | 30.495 | 30.072 | 29.926 | 2.09 | 3.16 | 19 | 30.072 | TP1   | +2.09 | 30.495 | SL    | -1.00 | -0.23 | VERLOREN
